"neuroticism","extraversion","sex","volunteer"
7,15,"male","yes"
11,12,"female","yes"
19,9,"female","yes"
6,16,"female","yes"
1,13,"male","yes"
10,15,"male","yes"
12,16,"female","yes"
13,13,"female","yes"
13,17,"female","yes"
7,16,"male","yes"
5,12,"female","yes"
12,6,"female","yes"
12,15,"male","yes"
10,15,"male","yes"
17,7,"female","yes"
7,14,"female","yes"
14,12,"female","yes"
7,13,"female","yes"
17,12,"female","yes"
2,14,"female","yes"
20,10,"female","yes"
16,12,"female","yes"
9,15,"female","yes"
17,16,"female","yes"
13,17,"female","yes"
17,8,"male","yes"
12,8,"female","yes"
10,13,"female","yes"
5,15,"female","yes"
9,19,"female","yes"
12,11,"female","yes"
9,13,"female","yes"
13,11,"female","yes"
7,14,"female","yes"
19,13,"female","yes"
14,14,"female","yes"
7,17,"female","yes"
16,13,"female","yes"
7,15,"female","yes"
11,13,"female","yes"
10,18,"female","yes"
11,12,"female","yes"
20,12,"male","yes"
15,10,"female","yes"
7,14,"male","yes"
19,12,"female","yes"
18,8,"female","yes"
10,14,"female","yes"
8,11,"male","yes"
18,7,"female","yes"
14,12,"female","yes"
14,12,"female","yes"
7,13,"female","yes"
14,17,"female","yes"
18,14,"female","yes"
20,10,"female","yes"
13,9,"male","yes"
13,17,"female","yes"
8,9,"female","yes"
8,8,"female","yes"
19,8,"female","yes"
5,16,"female","yes"
4,16,"female","yes"
6,16,"male","yes"
4,16,"male","yes"
5,16,"male","yes"
21,9,"male","yes"
17,5,"female","yes"
15,5,"male","yes"
18,8,"female","yes"
2,16,"male","yes"
6,18,"male","yes"
15,19,"male","yes"
4,17,"male","yes"
21,16,"female","no"
21,14,"female","no"
10,16,"male","no"
9,20,"male","no"
7,16,"male","no"
16,9,"male","no"
15,16,"male","no"
21,10,"female","no"
22,16,"female","no"
19,14,"female","no"
16,17,"female","no"
12,17,"female","no"
13,12,"male","no"
17,7,"female","no"
12,12,"female","no"
23,15,"female","no"
13,8,"female","no"
11,18,"male","no"
12,15,"male","no"
10,18,"female","no"
11,11,"male","no"
13,15,"female","no"
9,13,"female","no"
18,12,"female","no"
17,17,"female","no"
14,12,"female","no"
12,14,"female","no"
11,14,"female","no"
13,8,"female","no"
14,8,"female","no"
9,16,"female","no"
18,12,"female","no"
9,14,"female","no"
17,9,"female","no"
10,14,"male","no"
7,11,"female","no"
19,9,"female","no"
10,16,"female","no"
8,10,"male","no"
13,17,"female","no"
14,10,"male","no"
13,6,"female","no"
4,16,"male","no"
14,16,"female","no"
6,14,"female","no"
10,13,"female","no"
16,15,"male","no"
17,13,"male","no"
15,15,"male","no"
10,13,"male","no"
9,8,"female","no"
18,9,"female","no"
14,10,"female","no"
16,6,"female","no"
16,9,"male","no"
10,18,"female","no"
19,5,"female","no"
17,17,"female","no"
14,14,"male","no"
8,16,"female","no"
12,10,"male","no"
15,16,"male","no"
5,12,"male","no"
14,16,"male","no"
17,18,"male","no"
13,13,"male","no"
15,9,"female","no"
11,8,"female","no"
17,19,"male","no"
9,11,"male","no"
12,16,"female","no"
7,12,"male","no"
9,16,"female","no"
13,12,"female","no"
21,9,"female","no"
13,15,"female","no"
14,8,"female","no"
16,13,"male","no"
17,16,"female","no"
18,8,"female","no"
5,12,"male","no"
14,17,"male","no"
7,11,"female","no"
9,14,"male","no"
16,10,"female","no"
21,10,"female","no"
10,9,"female","no"
12,14,"female","no"
10,13,"female","no"
10,21,"female","no"
17,15,"female","no"
16,11,"female","no"
8,12,"male","no"
13,21,"male","no"
12,20,"male","no"
13,8,"male","no"
17,12,"female","no"
17,20,"male","no"
15,21,"male","no"
13,14,"female","no"
19,12,"female","no"
14,15,"female","no"
21,2,"female","no"
16,12,"male","no"
14,16,"male","no"
12,19,"male","no"
10,7,"male","no"
10,9,"female","no"
11,15,"female","no"
3,11,"female","no"
12,20,"female","no"
17,7,"female","no"
17,20,"female","no"
17,13,"female","no"
12,10,"female","no"
16,12,"female","no"
7,15,"female","no"
20,14,"male","no"
18,16,"female","no"
4,16,"female","no"
7,14,"female","no"
10,9,"male","no"
17,14,"female","no"
10,12,"female","no"
10,13,"female","no"
6,18,"female","no"
12,18,"male","no"
7,11,"female","no"
15,6,"female","no"
15,9,"male","no"
8,10,"male","no"
21,11,"male","no"
13,15,"female","no"
17,7,"female","no"
17,10,"female","no"
14,6,"female","no"
19,9,"male","no"
3,10,"male","no"
5,12,"male","no"
11,14,"male","no"
11,8,"female","no"
13,9,"male","no"
13,7,"female","no"
9,10,"male","no"
5,14,"female","no"
17,9,"female","no"
11,13,"male","no"
11,10,"male","no"
7,15,"male","no"
6,17,"male","no"
11,16,"male","no"
14,10,"female","no"
15,18,"male","no"
10,7,"male","no"
14,15,"female","no"
14,9,"female","no"
5,7,"male","no"
10,12,"female","no"
7,9,"female","no"
17,13,"male","no"
6,14,"female","no"
8,6,"female","no"
21,10,"female","no"
13,19,"male","no"
9,18,"male","no"
19,10,"male","no"
10,19,"female","no"
9,19,"female","no"
5,9,"female","no"
22,13,"female","no"
16,15,"female","no"
21,14,"female","no"
4,15,"female","no"
8,13,"female","no"
12,11,"female","no"
11,7,"male","no"
14,13,"male","no"
9,15,"female","no"
11,6,"female","no"
12,12,"female","no"
20,16,"female","no"
12,13,"male","no"
12,12,"female","no"
10,11,"male","no"
8,18,"female","no"
14,16,"male","no"
14,7,"female","no"
7,10,"female","no"
11,5,"male","no"
18,17,"female","no"
20,9,"male","no"
15,20,"female","no"
15,15,"male","no"
11,11,"female","no"
1,20,"male","no"
5,15,"male","no"
2,15,"male","no"
3,13,"male","no"
18,14,"female","no"
17,9,"male","no"
14,16,"female","no"
8,11,"male","no"
18,14,"male","no"
15,9,"female","no"
13,9,"female","no"
14,14,"female","no"
1,14,"male","no"
20,7,"female","no"
6,6,"female","no"
6,12,"male","no"
15,6,"male","no"
10,8,"male","no"
12,6,"male","no"
16,10,"female","no"
17,9,"male","no"
18,11,"female","no"
7,9,"female","no"
14,14,"female","no"
14,8,"female","no"
5,16,"male","no"
11,8,"female","no"
10,11,"female","no"
18,17,"female","no"
10,11,"male","no"
22,12,"male","no"
13,4,"male","no"
13,9,"female","no"
11,4,"female","no"
20,11,"female","no"
9,14,"male","no"
11,7,"female","no"
16,14,"female","no"
10,9,"female","no"
13,16,"male","no"
14,12,"male","no"
6,7,"male","no"
9,15,"male","no"
10,15,"female","no"
11,8,"male","no"
3,9,"male","no"
13,11,"female","no"
16,14,"male","no"
8,8,"female","no"
16,15,"female","no"
7,11,"female","no"
10,7,"female","no"
4,5,"male","no"
12,12,"male","no"
19,13,"female","no"
6,10,"female","no"
18,13,"female","no"
3,5,"male","no"
19,9,"male","no"
13,10,"female","no"
9,14,"male","no"
12,8,"male","no"
2,9,"male","no"
17,11,"female","no"
17,14,"female","no"
14,18,"male","no"
4,13,"female","no"
9,15,"male","no"
13,8,"female","no"
15,11,"female","no"
4,9,"male","no"
13,14,"male","no"
10,12,"female","no"
13,14,"male","no"
8,10,"male","no"
10,10,"male","no"
9,16,"female","no"
18,2,"male","no"
20,7,"female","no"
7,6,"male","no"
17,8,"female","no"
10,16,"female","no"
8,15,"female","no"
10,3,"female","no"
5,13,"male","no"
10,17,"male","no"
13,13,"female","no"
9,14,"female","no"
7,15,"male","no"
13,14,"female","no"
14,12,"female","no"
4,8,"female","no"
9,20,"female","no"
7,9,"male","no"
2,11,"male","no"
15,13,"female","no"
6,13,"male","no"
11,14,"male","no"
8,17,"female","no"
13,12,"female","no"
7,13,"female","no"
2,7,"male","no"
5,6,"male","no"
10,13,"male","no"
8,11,"male","no"
9,11,"female","no"
17,13,"male","no"
9,9,"female","no"
20,11,"female","no"
10,10,"male","no"
18,12,"male","no"
19,13,"female","no"
8,8,"male","no"
7,18,"male","no"
19,16,"female","no"
11,14,"female","no"
9,5,"male","no"
0,10,"male","no"
17,10,"female","no"
10,10,"male","no"
8,7,"male","no"
6,9,"female","no"
8,17,"female","no"
21,11,"male","no"
5,13,"male","no"
13,12,"female","no"
17,10,"female","no"
10,10,"female","no"
18,8,"male","no"
15,23,"female","no"
7,4,"male","no"
2,13,"female","no"
8,9,"female","no"
9,16,"female","no"
12,8,"male","no"
7,15,"female","no"
15,15,"female","no"
11,4,"male","no"
10,10,"male","no"
12,14,"male","no"
15,7,"female","no"
9,6,"female","no"
19,5,"female","no"
21,16,"male","no"
16,15,"female","no"
16,10,"male","no"
8,6,"male","no"
1,9,"female","no"
7,14,"female","no"
3,16,"male","no"
13,5,"female","no"
14,9,"male","no"
11,9,"female","no"
7,11,"female","no"
16,7,"male","no"
8,15,"female","no"
16,20,"female","no"
13,10,"female","no"
18,13,"female","no"
9,10,"female","no"
6,13,"female","no"
13,18,"female","no"
15,12,"female","no"
16,5,"male","no"
11,18,"female","no"
11,5,"male","no"
15,13,"male","no"
13,12,"female","no"
7,16,"male","no"
12,11,"male","no"
5,13,"male","no"
13,14,"male","no"
17,7,"female","no"
17,16,"female","no"
18,13,"male","no"
11,10,"female","no"
18,13,"female","no"
3,14,"female","no"
12,6,"female","no"
14,12,"male","no"
7,7,"female","no"
11,7,"female","no"
5,13,"male","no"
6,16,"female","no"
3,14,"male","no"
6,8,"male","no"
15,9,"female","no"
5,13,"female","no"
0,6,"female","no"
12,4,"female","no"
14,17,"female","no"
18,10,"female","no"
11,18,"male","no"
10,19,"female","no"
5,16,"female","no"
4,11,"male","no"
6,8,"female","no"
15,12,"male","no"
12,19,"male","no"
15,4,"female","no"
14,9,"female","no"
16,11,"female","no"
6,14,"male","yes"
8,9,"female","yes"
15,14,"female","yes"
14,15,"female","yes"
11,14,"female","yes"
6,14,"female","yes"
14,13,"male","yes"
15,12,"male","yes"
6,15,"male","yes"
9,7,"female","yes"
8,16,"male","yes"
4,13,"male","yes"
9,10,"female","yes"
13,16,"female","yes"
19,12,"female","yes"
6,13,"female","yes"
20,15,"female","yes"
19,14,"female","yes"
9,5,"female","yes"
14,19,"female","yes"
0,15,"female","yes"
13,15,"female","yes"
19,11,"female","yes"
15,13,"male","yes"
13,13,"female","yes"
22,11,"female","yes"
9,11,"female","yes"
11,10,"male","yes"
15,10,"female","yes"
11,16,"female","yes"
8,11,"male","yes"
13,9,"female","yes"
9,15,"male","yes"
16,10,"female","yes"
13,13,"female","yes"
18,16,"female","yes"
23,15,"female","yes"
12,9,"female","yes"
10,13,"male","yes"
6,15,"male","yes"
12,2,"male","yes"
8,10,"female","yes"
12,9,"female","yes"
13,15,"female","yes"
11,7,"female","yes"
15,12,"female","yes"
4,16,"female","yes"
6,13,"female","yes"
9,13,"female","yes"
11,17,"female","yes"
4,9,"female","yes"
12,12,"male","yes"
7,13,"male","yes"
9,15,"female","yes"
8,16,"female","yes"
10,10,"male","yes"
8,16,"male","yes"
16,16,"male","yes"
16,13,"male","yes"
8,15,"male","yes"
9,15,"male","yes"
8,15,"male","yes"
18,16,"male","yes"
12,4,"male","yes"
8,22,"male","yes"
11,12,"female","yes"
23,13,"female","yes"
7,12,"male","yes"
19,11,"female","yes"
5,10,"female","yes"
11,14,"female","yes"
1,15,"female","yes"
14,18,"male","yes"
10,5,"male","yes"
14,15,"male","yes"
4,15,"female","yes"
16,11,"female","yes"
3,13,"male","yes"
14,11,"male","yes"
14,5,"female","yes"
8,15,"male","yes"
10,12,"male","yes"
11,13,"female","yes"
8,22,"female","yes"
8,12,"female","yes"
10,16,"female","yes"
12,7,"female","yes"
3,15,"male","yes"
20,14,"female","yes"
14,16,"male","yes"
5,10,"male","yes"
19,4,"female","yes"
17,11,"male","yes"
7,13,"male","yes"
7,13,"male","yes"
11,12,"male","yes"
5,11,"male","yes"
15,13,"female","yes"
9,18,"male","yes"
11,18,"female","yes"
0,10,"male","yes"
1,13,"male","yes"
7,14,"male","yes"
9,15,"male","yes"
14,15,"male","yes"
18,11,"female","yes"
17,14,"female","yes"
22,13,"male","yes"
11,13,"female","yes"
4,18,"male","yes"
7,6,"male","yes"
4,15,"male","yes"
10,13,"female","yes"
9,15,"male","yes"
21,12,"female","yes"
3,13,"female","yes"
10,15,"male","yes"
11,13,"male","yes"
17,14,"female","yes"
1,15,"male","yes"
15,15,"male","yes"
8,12,"male","yes"
10,9,"female","yes"
9,15,"female","yes"
11,11,"female","yes"
12,12,"male","yes"
10,15,"male","yes"
21,11,"female","yes"
1,11,"male","yes"
6,15,"female","yes"
4,12,"male","yes"
8,13,"male","yes"
6,16,"male","yes"
12,9,"male","yes"
16,11,"female","yes"
8,18,"female","yes"
8,12,"male","yes"
7,7,"male","yes"
12,12,"male","yes"
12,14,"female","yes"
12,15,"female","yes"
12,9,"male","yes"
8,12,"female","yes"
13,14,"male","yes"
17,8,"male","yes"
6,13,"male","yes"
13,12,"male","yes"
2,14,"male","yes"
11,16,"female","yes"
5,14,"female","yes"
7,14,"female","yes"
3,10,"male","yes"
9,11,"female","yes"
13,14,"female","yes"
12,11,"female","yes"
8,7,"female","yes"
12,18,"female","yes"
11,3,"female","yes"
9,14,"male","yes"
9,10,"female","yes"
11,14,"male","yes"
11,8,"male","yes"
7,16,"female","yes"
11,9,"male","yes"
13,12,"male","yes"
21,12,"female","yes"
20,3,"female","yes"
20,4,"male","yes"
16,4,"male","yes"
5,4,"female","yes"
16,8,"female","yes"
4,9,"male","yes"
17,7,"male","yes"
3,10,"female","yes"
17,17,"female","yes"
16,18,"female","yes"
15,6,"female","yes"
5,17,"male","yes"
21,3,"male","yes"
17,5,"female","yes"
5,17,"male","yes"
15,8,"male","yes"
3,3,"male","yes"
18,17,"female","yes"
15,19,"female","yes"
5,7,"male","yes"
15,4,"male","yes"
17,8,"female","yes"
17,4,"male","yes"
3,3,"male","yes"
17,18,"female","yes"
5,7,"female","yes"
5,18,"male","yes"
7,2,"female","yes"
15,18,"male","yes"
15,7,"male","yes"
20,7,"female","yes"
16,19,"male","yes"
4,17,"male","yes"
4,17,"male","yes"
16,18,"male","yes"
17,6,"female","yes"
18,17,"female","yes"
17,19,"female","yes"
6,19,"male","yes"
3,20,"male","yes"
4,22,"female","yes"
5,18,"male","yes"
18,6,"male","yes"
19,5,"male","yes"
18,9,"female","yes"
18,8,"female","yes"
19,8,"male","yes"
19,6,"female","yes"
16,6,"female","yes"
6,9,"female","yes"
3,10,"female","yes"
7,19,"male","yes"
7,20,"male","yes"
7,18,"female","yes"
3,17,"male","yes"
17,17,"female","yes"
17,4,"male","yes"
3,8,"male","yes"
19,9,"female","yes"
2,6,"female","yes"
20,16,"female","yes"
2,19,"male","yes"
4,9,"female","yes"
7,19,"female","yes"
17,18,"female","yes"
19,17,"female","yes"
4,20,"male","yes"
7,7,"male","yes"
4,10,"female","yes"
5,10,"male","yes"
8,4,"female","yes"
8,8,"male","yes"
19,20,"female","yes"
15,20,"male","yes"
