"dur","gdp"
5,0.01517
23,0.01517
34,0.01517
52,0.01517
52,0.01517
12,0.00997
28,0.00997
60,0.00997
165,0.00997
1,0.0117
2,0.0117
8,0.0117
10,0.0117
22,0.0117
44,0.0117
3,0.00473
4,0.00473
13,0.00473
14,0.00473
28,0.00473
28,0.00473
31,0.00473
35,0.00473
37,0.00473
45,0.00473
48,0.00473
49,0.00473
50,0.00473
60,0.00473
102,0.00473
103,0.00473
9,0.01277
9,0.01277
11,0.01277
43,0.01277
49,0.01277
7,0.01138
9,0.01138
13,0.01138
14,0.01138
26,0.01138
29,0.01138
52,0.01138
130,0.01138
3,0.00424
3,0.00424
8,0.00424
10,0.00424
24,0.00424
53,0.00424
91,0.00424
205,0.00424
4,-0.00687
5,-0.00687
7,-0.00687
11,-0.00687
18,-0.00687
22,-0.00687
48,-0.00687
53,-0.00687
56,-0.00687
1,-0.00023
2,-0.00023
7,-0.00023
16,-0.00023
17,-0.00023
44,-0.00023
57,-0.00023
64,-0.00023
70,-0.00023
175,-0.00023
1,0.00791
4,0.00791
4,0.00791
7,0.00791
12,0.00791
30,0.00791
46,0.00791
53,0.00791
61,0.00791
208,0.00791
5,0.02538
8,0.02538
14,0.02538
30,0.02538
32,0.02538
44,0.02538
49,0.02538
3,0.02939
4,0.03927
4,0.03927
9,0.03927
13,0.03927
33,0.03927
98,0.03927
17,0.0371
34,0.0371
46,0.0371
65,0.0371
82,0.0371
5,0.04186
18,0.04186
44,0.04186
44,0.04186
59,0.04186
60,0.04186
7,0.03156
14,0.03156
31,0.03156
32,0.03156
77,0.03156
1,0.0218
2,0.0218
7,0.0218
10,0.0218
18,0.0218
23,0.0218
25,0.0218
36,0.0218
42,0.0218
46,0.0218
47,0.0218
50,0.0218
77,0.0218
9,0.02299
37,0.02299
41,0.02299
49,0.02299
52,0.02299
119,0.02299
2,0.02057
13,0.02057
25,0.02057
31,0.02057
31,0.02057
35,0.02057
44,0.02057
45,0.02057
53,0.02057
111,0.02057
3,0.02191
4,0.02191
5,0.02191
6,0.02191
7,0.02191
9,0.02191
14,0.02191
23,0.02191
26,0.02191
37,0.02191
46,0.02191
47,0.02191
77,0.02191
2,0.02094
11,0.02094
16,0.02094
147,0.02094
2,0.02171
2,0.02171
4,0.02171
6,0.02171
16,0.02171
18,0.02171
37,0.02171
42,0.02171
6,0.01298
7,0.01298
32,0.01298
44,0.01298
70,0.01298
32,-0.00268
71,-0.00268
7,-0.00987
27,-0.00987
14,-0.01491
26,-0.01491
4,-0.02361
4,-0.02361
43,-0.02361
60,-0.02361
62,-0.02361
64,-0.02361
68,-0.02361
82,-0.02361
3,-0.03252
13,-0.03252
30,-0.03252
154,-0.03252
3,-0.03957
17,-0.03957
19,-0.03957
28,-0.03957
72,-0.03957
99,-0.03957
104,-0.03957
114,-0.03957
152,-0.03957
153,-0.03957
216,-0.03957
15,-0.04163
21,-0.04163
52,-0.04163
109,-0.04163
3,-0.05107
5,-0.05107
9,-0.05107
26,-0.05107
52,-0.05107
61,-0.05107
148,-0.05107
168,-0.05107
2,-0.06215
11,-0.06215
19,-0.06215
26,-0.06215
30,-0.06215
36,-0.06215
47,-0.06215
50,-0.06215
87,-0.06215
3,-0.08626
5,-0.08626
7,-0.08626
17,-0.08626
23,-0.08626
30,-0.08626
104,-0.08626
108,-0.08626
192,-0.08626
18,-0.09308
40,-0.09308
47,-0.09308
57,-0.09308
1,-0.04777
5,-0.04777
10,-0.04777
15,-0.04777
19,-0.04777
28,-0.04777
42,-0.04777
64,-0.04777
148,-0.04777
4,-0.05161
6,-0.05161
12,-0.05161
12,-0.05161
28,-0.05161
105,-0.05161
112,-0.05161
163,-0.05161
11,-0.05473
12,-0.05473
29,-0.05473
50,-0.05473
235,-0.05473
10,-0.05417
19,-0.05417
41,-0.05417
52,-0.05417
100,-0.05417
3,-0.05196
4,-0.05196
10,-0.05196
12,-0.05196
34,-0.05196
88,-0.05196
101,-0.05196
102,-0.05196
104,-0.05196
124,-0.05196
15,-0.05467
61,-0.05467
98,-0.05467
22,-0.06169
24,-0.06169
38,-0.06169
64,-0.06169
84,-0.06169
5,-0.06945
6,-0.06945
70,-0.06945
70,-0.06945
1,-0.05824
11,-0.05824
18,-0.05824
19,-0.05824
50,-0.05824
90,-0.05824
9,-0.04592
15,-0.04592
20,-0.04592
24,-0.04592
84,-0.04592
117,-0.04592
1,-0.0461
23,-0.0461
25,-0.0461
59,-0.0461
63,-0.0461
179,-0.03983
92,-0.01353
153,-0.01353
17,-0.00784
226,-0.00784
13,-0.00354
23,-0.00354
2,0.01303
38,0.01303
3,0.00513
3,0.00513
6,0.00513
139,0.00513
2,0.00535
25,0.00535
85,0.00535
13,-0.00426
125,-0.00426
4,0.01355
54,0.01355
91,0.01355
38,0.02125
2,0.03531
6,0.03531
61,0.0565
18,0.06344
64,0.07687
122,0.07902
11,0.07602
16,0.07602
31,0.07602
39,0.07602
41,0.07602
2,0.07744
4,0.07744
5,0.07744
7,0.07744
9,0.07744
13,0.07744
38,0.07744
3,0.07427
10,0.07427
4,0.07816
5,0.07816
22,0.07816
27,0.07816
28,0.07816
36,0.07816
39,0.07816
85,0.07816
191,0.07816
5,0.07036
44,0.07036
56,0.07036
6,0.07217
21,0.07217
33,0.07216
109,0.07217
125,0.07217
127,0.07217
8,0.07773
9,0.07773
13,0.07773
14,0.07773
15,0.07773
28,0.07773
50,0.07773
60,0.07773
135,0.07773
5,0.08554
7,0.08554
16,0.08554
21,0.07418
37,0.07428
41,0.07428
2,0.07053
2,0.07053
20,0.07053
24,0.07053
57,0.07053
8,0.06554
16,0.06554
24,0.06554
59,0.06554
115,0.06554
123,0.06554
141,0.06554
146,0.06554
146,0.06554
3,0.06753
15,0.06753
15,0.06753
18,0.06753
20,0.06753
26,0.06753
34,0.06753
84,0.06753
122,0.06753
174,0.06753
4,0.06072
14,0.06072
15,0.06072
17,0.06072
22,0.06072
24,0.06072
39,0.06072
53,0.06072
107,0.06072
5,0.06508
9,0.06508
10,0.06508
16,0.06508
22,0.06508
24,0.06508
31,0.06508
31,0.06508
34,0.06508
38,0.06508
42,0.06508
65,0.06508
74,0.06508
101,0.06508
130,0.06508
1,0.0645
2,0.0645
2,0.0645
3,0.0645
4,0.0645
8,0.0645
11,0.0645
22,0.0645
23,0.0645
27,0.0645
32,0.0645
33,0.0645
35,0.0645
43,0.0645
43,0.0645
44,0.0645
3,0.0645
100,0.0645
2,0.06319
19,0.06319
20,0.06319
20,0.06319
20,0.06319
23,0.06319
24,0.06319
33,0.06319
33,0.06319
63,0.06319
67,0.06319
94,0.06319
116,0.06319
1,0.05579
8,0.05579
15,0.05579
15,0.05579
22,0.05579
23,0.05579
26,0.05579
27,0.05579
55,0.05579
160,0.05579
5,0.05197
8,0.05197
13,0.05197
20,0.05197
42,0.05197
53,0.05197
59,0.05197
83,0.05197
101,0.05197
8,0.03458
11,0.03458
15,0.03458
22,0.03458
58,0.03458
60,0.03458
108,0.03458
31,-0.00225
42,-0.00225
45,-0.00225
50,-0.00225
61,-0.00225
106,-0.00225
142,-0.00225
36,-0.09771
52,-0.09771
99,-0.09771
38,-0.12124
47,-0.12124
62,-0.12124
38,-0.13996
51,-0.13996
98,-0.13996
133,-0.13996
9,-0.1259
86,-0.1259
141,-0.12224
5,-0.10443
49,-0.10443
8,-0.08656
13,-0.08656
2,-0.06279
6,-0.06279
37,-0.06279
28,-0.0579
36,-0.0579
48,-0.0579
136,-0.0579
139,-0.0579
2,-0.04919
14,-0.04919
15,-0.04919
33,-0.04919
143,-0.04919
42,-0.04494
8,-0.027
122,-0.00601
56,-0.00693
14,-0.00528
14,-0.00528
106,-0.00528
127,-0.00528
131,-0.00528
140,-0.00528
141,-0.00528
163,-0.00528
22,-0.00155
23,-0.00155
29,-0.00155
99,-0.00155
118,-0.00155
2,-0.007
12,-0.007
12,-0.007
21,-0.007
21,-0.007
27,-0.007
38,-0.007
42,-0.007
117,-0.007
2,-0.00157
12,-0.00157
19,-0.00157
22,-0.00157
75,-0.00157
126,-0.00157
8,0.00134
36,0.00134
107,0.00134
5,-0.01281
5,-0.01281
29,-0.01281
151,-0.01281
9,-0.01538
16,-0.01538
29,-0.01538
35,-0.01538
65,-0.01538
136,-0.01538
50,-0.00703
55,-0.00703
1,-3e-05
12,-3e-05
27,-3e-05
