"sex","age","educ","country","y","v1","v2","v3","v4","v5","v6"
0,20,4,"Eurasia",1,4,3,3,5,3,4
1,25,4,"Oceana",2,3,3,5,5,5,5
1,56,2,"Eastasia",2,3,2,4,5,5,4
0,65,6,"Eastasia",2,3,3,5,5,5,5
1,50,5,"Oceana",1,5,3,5,5,3,5
0,20,5,"Eastasia",1,4,4,3,3,4,4
1,63,2,"Oceana",2,3,3,4,4,4,5
0,39,3,"Oceana",2,4,3,3,4,3,3
0,58,2,"Oceana",2,3,3,5,5,5,5
0,40,3,"Oceana",1,2,2,3,5,4,5
1,37,4,"Eurasia",1,4,4,3,5,1,3
1,22,5,"Eurasia",2,4,4,5,4,5,4
1,37,6,"Eastasia",3,5,1,4,5,4,5
0,46,1,"Oceana",1,5,5,5,5,5,5
0,49,5,"Oceana",1,3,4,4,4,5,5
1,28,3,"Oceana",2,4,3,4,3,3,3
0,59,4,"Oceana",1,5,2,5,5,3,5
0,26,3,"Oceana",1,2,1,4,5,3,5
1,26,3,"Oceana",2,5,3,4,5,5,5
1,41,5,"Oceana",1,2,1,4,4,3,5
0,54,1,"Oceana",1,5,4,5,5,4,5
1,37,6,"Eurasia",2,5,1,5,5,5,5
0,51,4,"Oceana",1,3,1,3,4,4,5
0,30,5,"Oceana",1,2,1,4,5,4,5
0,22,5,"Eastasia",4,5,5,5,5,5,5
0,21,1,"Eastasia",4,5,3,5,5,5,5
0,24,6,"Eurasia",2,4,5,4,4,5,4
1,81,3,"Oceana",4,5,5,5,5,5,5
0,34,4,"Eastasia",1,4,2,4,5,2,5
1,32,1,"Eastasia",4,5,4,5,5,5,5
1,84,4,"Oceana",1,4,4,4,4,4,4
0,18,2,"Eastasia",1,2,1,5,5,4,5
1,60,3,"Oceana",1,2,1,4,4,4,5
0,71,3,"Oceana",1,5,5,5,5,5,5
0,42,7,"Oceana",2,4,4,4,4,4,5
0,82,3,"Oceana",1,4,4,4,4,4,5
1,52,5,"Eastasia",4,5,5,5,5,5,5
1,46,2,"Eurasia",1,5,5,5,5,5,5
0,54,4,"Oceana",1,5,2,3,4,4,5
0,55,4,"Oceana",3,4,3,5,5,5,5
0,27,6,"Eurasia",2,4,2,4,4,3,3
1,68,3,"Oceana",1,3,2,4,5,5,5
1,34,3,"Oceana",2,4,2,5,5,4,3
0,22,5,"Oceana",1,4,3,4,5,4,5
1,71,1,"Oceana",2,4,4,4,5,4,5
0,18,4,"Oceana",2,3,1,3,3,3,3
0,60,2,"Eurasia",2,4,3,3,5,5,4
1,64,6,"Eastasia",1,4,1,5,1,4,5
1,63,1,"Oceana",4,5,4,5,5,5,5
1,27,2,"Eurasia",2,4,3,5,5,5,5
1,61,3,"Oceana",1,2,2,4,4,4,5
1,70,2,"Oceana",1,5,5,5,5,5,5
1,53,3,"Oceana",3,5,5,5,5,5,5
0,43,2,"Eurasia",2,5,5,5,5,5,5
1,28,1,"Eurasia",3,4,4,5,4,4,4
1,37,2,"Oceana",3,5,1,4,3,3,5
0,27,4,"Eurasia",1,3,3,3,4,5,5
0,74,3,"Oceana",1,2,2,2,5,3,5
0,41,NA,"Oceana",1,5,2,4,5,5,5
1,60,1,"Eastasia",2,4,3,5,5,3,5
0,19,4,"Oceana",1,3,4,5,5,5,5
1,26,4,"Oceana",2,5,5,5,4,4,4
0,68,7,"Oceana",2,3,4,3,4,5,5
1,24,5,"Oceana",2,3,2,5,5,3,5
1,34,3,"Oceana",2,3,2,5,4,5,5
1,71,3,"Oceana",2,3,3,3,5,5,5
1,56,4,"Oceana",1,5,2,5,5,4,5
1,45,1,"Oceana",2,4,2,5,3,4,5
1,36,1,"Eurasia",2,3,3,4,4,4,5
1,20,6,"Eurasia",1,2,5,4,5,5,5
0,54,1,"Eastasia",1,2,2,5,5,5,5
1,48,1,"Eurasia",2,3,3,5,5,3,5
1,55,5,"Oceana",4,5,5,5,5,5,5
0,30,2,"Oceana",2,3,2,4,5,5,5
0,35,1,"Eastasia",1,3,4,5,5,3,5
1,71,3,"Eastasia",1,2,1,3,5,3,5
1,27,3,"Eastasia",3,3,2,5,5,5,5
0,78,2,"Oceana",1,1,3,2,4,3,1
1,67,4,"Oceana",3,3,2,3,5,5,5
1,47,2,"Oceana",1,2,2,1,2,4,2
0,29,4,"Oceana",3,3,4,3,3,4,5
1,51,5,"Eurasia",2,2,5,4,5,5,2
0,63,3,"Oceana",3,3,5,5,5,5,5
0,53,3,"Eastasia",4,4,3,5,5,5,5
1,84,2,"Oceana",1,1,1,5,4,4,5
0,43,4,"Oceana",3,5,4,5,4,5,3
1,48,3,"Eurasia",3,3,3,4,5,5,5
0,50,1,"Eurasia",3,3,3,4,4,4,4
0,28,3,"Oceana",1,2,1,1,3,5,2
1,55,1,"Oceana",1,1,1,5,5,5,5
1,20,4,"Eastasia",5,5,5,5,5,5,5
0,56,1,"Eurasia",4,5,4,4,4,5,5
0,70,1,"Eurasia",2,2,3,3,4,5,5
0,37,1,"Oceana",2,2,2,3,5,5,5
0,21,4,"Eastasia",3,3,2,4,2,2,2
1,28,5,"Eurasia",3,3,3,2,2,1,2
0,42,4,"Oceana",2,2,3,4,4,4,5
0,62,4,"Eastasia",5,5,5,5,5,5,5
0,36,3,"Eurasia",5,5,5,5,5,5,5
1,28,1,"Oceana",5,5,5,5,5,5,5
1,51,1,"Eastasia",5,5,5,5,5,5,5
1,20,2,"Eastasia",2,2,1,3,4,5,3
1,43,5,"Eastasia",3,3,3,3,3,3,3
0,45,1,"Eastasia",1,1,1,1,1,1,1
1,61,6,"Eastasia",3,3,2,4,5,5,5
0,37,6,"Eurasia",3,3,2,3,5,3,3
1,28,1,"Oceana",2,2,2,4,5,4,5
1,23,3,"Eurasia",3,3,4,3,3,3,3
1,75,3,"Oceana",2,2,2,3,4,3,5
1,25,3,"Eastasia",2,5,4,3,4,5,2
0,35,4,"Eastasia",2,2,2,2,3,2,3
0,34,1,"Oceana",2,2,2,2,4,4,5
0,29,4,"Eurasia",3,4,1,3,5,3,5
0,19,3,"Oceana",2,2,2,5,5,5,5
1,63,1,"Eurasia",3,3,2,2,2,1,3
0,59,6,"Oceana",3,3,2,4,4,3,5
0,35,1,"Oceana",5,5,4,4,5,5,5
1,24,1,"Eastasia",5,5,5,5,5,5,5
1,40,1,"Oceana",3,4,2,5,5,4,3
1,53,4,"Eastasia",2,2,4,3,4,4,5
1,35,4,"Oceana",2,2,2,5,4,5,5
1,50,3,"Eurasia",1,1,1,4,5,5,4
0,31,1,"Eastasia",3,3,3,4,3,4,3
0,47,5,"Eastasia",4,4,4,4,4,4,3
0,20,3,"Eastasia",3,3,2,2,4,3,4
0,44,3,"Oceana",2,2,2,2,2,2,2
0,37,3,"Eurasia",3,3,3,3,3,3,3
1,NA,1,"Oceana",3,3,4,4,5,5,5
1,69,4,"Eastasia",3,3,2,3,4,4,5
0,44,4,"Oceana",3,3,3,4,4,4,4
1,19,3,"Eastasia",2,2,2,4,4,4,5
0,51,2,"Oceana",4,4,4,4,4,4,4
0,45,1,"Oceana",4,4,4,4,4,4,4
0,30,5,"Oceana",3,3,2,4,5,5,5
1,20,3,"Oceana",2,2,3,3,3,3,4
1,80,1,"Eurasia",3,3,2,3,4,3,5
0,62,1,"Oceana",5,5,5,5,5,5,5
0,90,1,"Eurasia",5,5,5,5,5,5,5
1,43,4,"Eastasia",3,3,2,4,5,4,5
0,28,4,"Eurasia",3,3,2,4,5,5,5
1,53,1,"Oceana",2,2,2,3,4,4,4
0,36,6,"Eastasia",3,3,1,5,5,3,5
0,55,1,"Oceana",5,5,5,5,5,5,4
0,65,3,"Oceana",2,2,2,3,4,4,5
0,26,NA,"Eastasia",2,2,2,3,5,1,5
1,61,1,"Oceana",2,2,2,5,5,5,5
1,40,4,"Oceana",2,2,2,3,5,4,5
0,68,1,"Eastasia",3,2,2,5,3,3,5
1,77,2,"Oceana",3,2,3,4,4,4,4
1,23,4,"Oceana",3,2,1,4,5,4,5
0,48,3,"Eastasia",3,2,3,5,3,3,5
0,30,7,"Oceana",3,2,2,5,4,4,5
1,28,1,"Oceana",3,1,2,5,5,5,5
1,57,1,"Eastasia",3,2,1,4,5,3,5
1,52,1,"Oceana",3,1,1,4,4,3,5
1,28,4,"Oceana",2,1,1,5,3,5,5
0,34,3,"Oceana",3,2,2,4,5,5,5
1,20,3,"Eastasia",4,2,2,5,5,5,5
0,18,1,"Oceana",3,2,2,5,5,5,5
0,21,5,"Eastasia",2,1,3,4,4,4,5
0,72,2,"Oceana",3,1,1,5,5,5,5
1,34,5,"Eastasia",3,2,1,4,4,3,5
1,30,2,"Eastasia",2,1,2,3,4,5,4
0,50,1,"Oceana",3,1,1,4,5,5,5
0,20,1,"Eastasia",3,1,2,4,3,3,5
1,30,3,"Oceana",3,2,2,5,5,5,5
1,35,4,"Oceana",3,1,3,4,4,5,5
1,47,1,"Oceana",3,2,1,4,5,4,5
1,18,4,"Eurasia",2,1,1,4,3,5,5
0,37,3,"Eastasia",3,2,1,5,4,4,5
1,38,1,"Oceana",3,2,2,4,5,4,5
1,60,1,"Oceana",3,2,2,5,5,4,5
1,68,1,"Eurasia",4,3,3,5,5,4,5
1,39,1,"Eurasia",3,2,4,4,5,3,5
0,25,4,"Oceana",3,1,1,4,3,4,4
1,30,5,"Oceana",3,1,1,4,4,4,5
1,54,2,"Eastasia",2,1,1,3,5,3,5
1,54,5,"Eastasia",3,2,2,4,5,4,5
0,20,1,"Eurasia",4,3,1,5,5,5,5
0,55,5,"Eastasia",3,2,2,4,4,5,5
1,19,4,"Eastasia",3,1,1,5,3,3,5
0,43,3,"Oceana",2,1,1,5,4,4,5
0,21,4,"Eurasia",3,2,4,5,3,3,4
1,37,3,"Eastasia",2,1,1,3,4,3,5
1,20,3,"Eurasia",3,2,4,4,3,1,5
1,42,3,"Oceana",3,1,3,4,4,5,5
0,31,3,"Eastasia",4,2,1,5,5,4,5
1,34,4,"Eastasia",2,1,3,3,4,4,5
1,22,1,"Eastasia",3,1,1,5,5,5,5
0,22,5,"Oceana",3,2,1,4,4,4,5
1,52,5,"Eastasia",3,2,2,4,5,5,5
1,42,2,"Oceana",3,1,1,5,5,5,5
1,62,5,"Oceana",3,2,2,4,3,3,5
0,18,1,"Eastasia",2,1,1,3,5,5,5
0,36,5,"Eastasia",3,1,2,4,4,4,4
1,32,4,"Eastasia",2,1,2,5,5,4,5
0,37,6,"Oceana",3,2,2,5,5,4,5
1,66,1,"Eurasia",4,2,1,5,4,4,5
1,28,1,"Eastasia",4,3,2,5,5,3,5
1,40,1,"Eastasia",4,2,4,4,4,3,5
1,83,2,"Eastasia",3,2,2,3,3,3,3
0,24,4,"Oceana",3,1,2,3,5,3,5
0,22,4,"Eurasia",5,3,1,5,1,5,5
1,59,1,"Eastasia",5,2,2,5,5,3,5
0,32,1,"Eastasia",5,3,3,5,5,5,5
1,50,4,"Oceana",4,3,2,4,4,5,5
0,34,6,"Eastasia",3,2,2,3,5,5,5
1,48,NA,"Eastasia",5,4,4,5,5,5,5
1,38,7,"Eurasia",5,4,3,5,5,4,5
0,25,3,"Eurasia",5,3,1,5,5,5,5
0,25,3,"Eurasia",4,3,3,4,5,4,5
1,59,3,"Oceana",4,2,3,5,4,4,4
0,28,3,"Eurasia",4,2,1,4,5,3,5
1,23,2,"Eastasia",5,2,3,5,2,5,5
0,NA,3,"Oceana",4,3,1,4,5,5,5
0,57,4,"Eurasia",3,2,1,3,4,3,5
1,65,5,"Eastasia",4,1,5,5,5,4,3
1,69,3,"Eastasia",4,2,2,4,3,3,5
1,32,3,"Eastasia",3,1,3,3,4,5,5
1,76,3,"Eastasia",3,2,2,3,3,4,5
0,27,1,"Eastasia",3,1,1,3,3,3,4
1,27,3,"Oceana",4,3,1,4,3,3,5
1,42,4,"Eastasia",3,2,1,3,3,3,5
1,46,1,"Eastasia",5,1,1,5,5,5,1
0,66,2,"Eurasia",5,3,2,5,5,5,5
1,70,1,"Eurasia",4,2,2,4,5,3,5
0,21,2,"Oceana",5,2,4,5,3,5,4
1,22,5,"Eastasia",3,2,2,3,5,3,5
1,37,5,"Eurasia",5,4,4,5,5,5,5
0,53,3,"Oceana",3,2,2,3,5,5,5
1,33,4,"Eurasia",4,3,2,4,5,5,5
1,51,6,"Eastasia",4,3,1,4,5,4,5
1,18,1,"Oceana",5,4,3,5,3,3,5
1,52,3,"Eurasia",5,2,2,5,5,5,5
1,22,6,"Eastasia",3,2,1,3,4,4,5
0,30,3,"Oceana",4,3,3,4,3,4,4
1,21,4,"Eastasia",4,3,1,4,3,4,5
1,50,3,"Eurasia",4,1,2,4,4,3,3
1,19,5,"Oceana",4,3,3,4,4,5,5
1,31,3,"Eastasia",5,3,1,5,5,5,5
0,54,2,"Eurasia",3,2,2,3,3,3,4
0,30,4,"Oceana",5,2,2,5,5,4,5
0,38,2,"Eastasia",5,3,2,5,5,4,5
1,39,1,"Eastasia",5,4,5,5,3,4,5
1,52,2,"Eastasia",4,2,1,4,5,4,5
0,40,1,"Oceana",4,3,3,4,4,4,5
1,29,2,"Oceana",5,1,5,5,5,5,5
1,22,4,"Oceana",3,1,1,3,5,5,5
0,20,5,"Eastasia",3,1,1,3,5,5,5
1,62,1,"Eurasia",5,2,2,5,5,5,5
1,21,6,"Eurasia",5,1,1,5,4,3,5
1,29,5,"Oceana",5,2,1,5,5,3,5
1,51,1,"Oceana",4,2,2,4,3,3,5
0,75,1,"Eurasia",3,2,3,3,3,2,2
0,34,4,"Oceana",3,2,2,3,5,4,5
1,71,2,"Eastasia",4,2,2,4,4,3,5
0,60,5,"Oceana",3,1,1,3,4,4,5
1,28,5,"Eurasia",5,2,5,5,5,5,5
1,48,3,"Eastasia",5,2,3,5,5,5,5
1,25,1,"Eastasia",5,1,2,5,5,3,5
1,83,1,"Eastasia",4,1,2,4,5,5,5
0,50,1,"Eastasia",4,2,2,3,5,4,5
1,26,4,"Eastasia",3,1,1,2,4,4,5
0,30,1,"Eastasia",3,1,2,2,1,3,4
1,59,2,"Eastasia",4,1,1,3,5,4,5
1,36,3,"Oceana",4,2,2,3,4,4,5
0,26,4,"Oceana",4,2,2,3,4,4,5
0,47,3,"Oceana",4,3,1,3,5,4,5
1,64,1,"Eastasia",3,1,3,2,2,2,5
1,43,1,"Oceana",4,3,2,3,4,3,5
1,20,5,"Eurasia",4,3,5,3,5,5,5
0,18,4,"Oceana",4,2,2,3,4,3,5
0,20,2,"Oceana",3,2,3,2,4,3,4
1,21,3,"Eastasia",4,1,4,2,4,3,5
0,63,4,"Eastasia",4,3,4,2,4,3,5
0,27,3,"Eastasia",4,2,1,3,3,3,5
1,27,2,"Eastasia",3,1,4,1,2,4,4
0,25,5,"Eurasia",4,3,2,3,4,4,5
0,26,3,"Oceana",4,1,1,3,4,4,5
1,30,1,"Eurasia",3,1,1,2,4,1,5
0,20,3,"Eurasia",3,1,1,2,4,1,5
1,31,5,"Oceana",4,2,1,3,4,5,5
0,20,1,"Eurasia",3,1,1,2,4,1,5
1,61,1,"Eurasia",3,2,1,1,4,4,5
0,33,4,"Oceana",4,3,2,3,4,4,5
1,23,1,"Oceana",4,2,1,3,5,4,5
0,47,3,"Eastasia",3,1,1,1,4,5,5
1,23,4,"Eastasia",4,1,4,3,4,4,5
1,36,3,"Eastasia",4,1,1,3,5,3,5
1,30,2,"Eurasia",4,3,5,3,5,5,5
0,39,3,"Eastasia",3,2,2,2,4,4,5
1,19,4,"Oceana",4,3,3,3,4,4,5
1,20,5,"Eastasia",4,3,3,3,4,3,5
1,25,4,"Eurasia",4,3,4,3,4,4,5
1,49,6,"Eastasia",4,1,2,3,4,4,5
0,45,5,"Eastasia",4,2,3,3,4,4,5
0,25,2,"Eurasia",3,2,4,2,3,5,4
0,46,2,"Oceana",4,2,2,3,5,4,5
0,28,6,"Eurasia",4,2,2,1,4,4,5
0,19,4,"Eastasia",4,2,2,3,4,3,5
1,43,2,"Eurasia",4,2,1,3,4,4,5
0,28,3,"Eurasia",4,2,1,3,4,4,5
1,30,1,"Eastasia",4,2,1,3,4,3,5
0,31,2,"Eastasia",4,3,2,3,5,3,5
1,22,3,"Eurasia",4,2,1,3,4,3,5
1,42,3,"Eastasia",4,2,1,3,4,4,5
1,40,3,"Eastasia",3,2,1,2,4,4,5
1,29,3,"Eastasia",4,1,1,3,4,5,5
0,23,4,"Eurasia",4,3,5,3,5,5,5
0,58,1,"Oceana",4,2,2,3,5,5,5
0,24,3,"Eastasia",4,2,2,3,1,5,5
1,19,3,"Eastasia",4,1,2,3,5,5,5
1,48,1,"Oceana",4,2,1,3,3,4,5
NA,1,NA,"Oceana",4,3,4,3,4,4,4
0,84,2,"Eurasia",5,2,2,4,4,5,5
0,63,1,"Eurasia",4,2,1,3,5,5,4
1,17,1,"Oceana",5,2,1,4,4,5,5
1,50,1,"Eurasia",5,2,1,3,4,4,5
1,43,6,"Eastasia",5,4,2,4,5,4,5
1,43,1,"Eastasia",5,1,1,4,4,3,5
0,19,3,"Eastasia",5,3,3,4,5,5,5
1,59,1,"Eurasia",5,2,1,3,4,4,5
1,60,1,"Eurasia",5,3,1,3,4,4,5
0,40,4,"Eurasia",5,1,1,2,4,5,5
1,19,3,"Oceana",5,2,1,4,5,4,5
0,21,1,"Eastasia",5,4,3,4,5,4,5
0,70,1,"Eurasia",5,1,4,4,4,2,5
1,23,4,"Eastasia",5,2,1,3,5,4,5
0,55,2,"Eastasia",5,3,3,3,4,4,5
1,32,3,"Oceana",5,1,2,4,4,3,5
0,51,3,"Eurasia",3,2,2,2,3,3,3
1,44,5,"Eastasia",5,1,1,4,4,4,5
0,38,2,"Eurasia",5,2,1,4,4,3,5
1,45,3,"Eurasia",5,4,5,2,4,4,5
0,40,4,"Oceana",4,3,4,3,4,4,4
0,28,4,"Eurasia",5,4,5,4,5,5,5
0,48,1,"Oceana",5,2,2,3,4,4,5
1,41,1,"Eurasia",5,2,1,4,5,5,5
1,36,5,"Eurasia",5,4,5,4,5,5,5
1,64,1,"Eurasia",5,3,2,4,5,3,5
0,50,4,"Eastasia",5,2,1,4,4,4,5
1,42,1,"Eurasia",5,3,4,4,4,3,5
1,18,3,"Eurasia",5,2,4,4,3,2,5
1,36,2,"Eurasia",5,4,1,4,5,4,5
1,25,1,"Eastasia",5,2,1,3,5,5,5
0,55,5,"Eastasia",5,4,2,4,3,3,5
1,57,6,"Eastasia",4,3,3,3,3,3,4
1,37,3,"Eurasia",5,3,2,3,4,4,5
1,43,1,"Eastasia",5,4,2,4,5,3,5
1,NA,1,"Eastasia",5,2,2,4,5,5,5
1,34,3,"Eurasia",4,1,3,3,3,4,4
1,40,2,"Oceana",5,4,2,4,5,4,5
0,82,3,"Eastasia",5,3,3,4,5,5,5
0,21,3,"Eurasia",5,2,1,4,4,4,5
1,45,1,"Eurasia",5,4,5,4,5,5,5
1,23,5,"Eurasia",5,4,5,3,4,4,5
1,29,3,"Eurasia",5,4,1,4,4,4,5
0,23,5,"Eurasia",4,3,4,3,3,3,4
0,29,4,"Oceana",5,3,3,4,4,4,5
1,40,4,"Eurasia",5,4,4,4,4,4,5
1,45,1,"Eastasia",5,2,3,4,5,4,5
1,31,3,"Eurasia",5,2,1,4,4,4,5
0,75,3,"Oceana",4,3,3,3,3,4,4
0,56,1,"Eurasia",4,2,2,3,3,3,4
1,22,NA,"Eurasia",5,4,1,3,5,3,5
1,89,4,"Eurasia",5,2,1,4,3,4,5
1,44,4,"Eastasia",5,2,1,4,5,3,5
1,36,2,"Eastasia",4,3,3,3,3,3,3
0,24,5,"Eurasia",5,2,3,3,3,3,3
0,33,3,"Eastasia",4,3,3,3,3,3,3
1,34,4,"Eurasia",4,3,3,3,3,3,3
1,34,5,"Eurasia",5,2,3,3,3,3,4
0,40,3,"Eastasia",5,2,3,4,5,4,4
0,52,1,"Eurasia",5,3,2,3,3,3,3
1,46,2,"Eastasia",5,4,2,4,3,3,4
1,68,7,"Eastasia",5,4,4,4,4,4,4
0,50,5,"Eurasia",3,2,2,2,2,2,2
0,25,3,"Eurasia",4,1,1,1,1,1,1
0,19,3,"Eurasia",5,3,4,3,4,4,4
0,22,3,"Eastasia",5,3,3,3,3,3,3
1,30,1,"Eurasia",5,3,3,4,4,4,4
0,54,2,"Eurasia",5,4,4,4,5,4,3
1,60,1,"Eurasia",4,1,3,3,5,4,3
0,44,1,"Eurasia",5,3,1,3,3,3,3
1,45,3,"Eastasia",4,3,3,3,3,3,3
1,20,1,"Eurasia",5,3,4,4,4,4,3
1,34,3,"Eurasia",4,3,2,2,3,2,2
0,48,4,"Eurasia",5,2,5,4,3,3,4
0,38,5,"Eastasia",4,2,2,2,2,2,2
0,68,2,"Oceana",5,3,3,3,3,3,3
1,26,1,"Eurasia",5,4,2,4,5,2,2
1,19,1,"Eastasia",5,4,4,3,3,3,4
1,45,2,"Eurasia",3,1,2,1,3,2,2
0,54,1,"Eurasia",5,4,1,4,5,5,3
1,23,2,"Eurasia",5,1,2,4,3,3,3
0,28,5,"Eurasia",5,2,2,3,3,3,3
1,35,3,"Eastasia",5,3,3,3,3,3,3
1,55,1,"Eurasia",5,3,2,4,4,3,4
1,29,3,"Oceana",5,2,5,3,5,5,2
1,55,1,"Eurasia",5,4,3,4,3,4,4
0,NA,1,"Eurasia",5,2,5,4,3,3,4
0,33,7,"Oceana",5,3,5,4,5,4,3
1,40,1,"Eurasia",5,3,3,4,4,4,4
0,24,5,"Eurasia",5,3,2,4,4,3,4
1,27,1,"Eurasia",4,1,2,3,3,3,3
0,30,7,"Eurasia",5,3,2,4,5,3,3
1,45,4,"Eastasia",5,4,3,3,5,3,4
1,20,2,"Eurasia",5,3,3,4,4,3,4
1,44,1,"Oceana",4,3,5,2,4,4,1
1,55,1,"Eurasia",5,2,2,3,3,3,4
1,65,3,"Eastasia",5,4,4,4,3,4,4
1,33,2,"Eastasia",4,3,3,3,3,3,3
0,46,2,"Eurasia",5,4,2,4,4,4,4
0,50,1,"Eurasia",5,3,3,4,4,5,3
1,26,2,"Eurasia",5,4,4,4,4,4,4
0,70,1,"Eastasia",5,2,3,3,4,4,3
1,22,1,"Eurasia",5,4,3,3,4,3,3
1,41,1,"Eurasia",4,2,4,3,3,4,2
1,35,3,"Eurasia",4,2,2,3,2,2,3
1,39,5,"Eurasia",4,3,3,2,3,3,2
1,36,1,"Eurasia",5,3,4,3,2,4,2
1,41,2,"Eastasia",4,2,5,3,2,4,3
1,25,4,"Eastasia",5,3,4,4,3,4,4
0,44,2,"Eurasia",5,4,5,4,5,4,4
1,43,4,"Eastasia",5,1,3,1,3,3,3
0,49,3,"Eurasia",5,3,4,3,2,3,3
1,31,5,"Eurasia",4,3,2,2,3,1,3
0,53,1,"Eurasia",4,2,3,3,3,3,3
1,40,1,"Eurasia",4,2,3,3,3,3,2
0,42,5,"Eastasia",5,2,4,3,3,5,3
0,40,2,"Eurasia",5,4,1,1,5,4,2
0,23,3,"Eurasia",5,3,3,3,4,4,2
0,40,3,"Eurasia",5,3,3,3,3,3,3
1,44,4,"Eurasia",5,2,4,2,4,4,4
0,38,4,"Eurasia",4,1,2,2,1,2,1
0,48,3,"Eastasia",5,2,3,3,2,3,3
0,57,1,"Oceana",4,1,3,1,2,3,2
0,47,5,"Eastasia",4,3,3,3,3,5,3
0,28,3,"Eurasia",5,3,5,4,4,4,4
1,18,4,"Eurasia",4,3,3,3,3,3,3
1,42,1,"Oceana",5,4,1,3,3,2,4
0,41,1,"Oceana",5,3,4,3,3,4,4
1,41,6,"Eurasia",5,4,2,1,4,4,3
0,40,3,"Eurasia",4,3,2,3,4,3,3
0,24,4,"Eastasia",5,3,4,3,3,3,4
1,70,1,"Eastasia",3,2,1,1,2,1,1
1,18,4,"Eurasia",3,1,1,1,1,1,2
1,19,1,"Eastasia",5,3,3,3,3,3,3
0,53,4,"Eastasia",4,3,3,3,3,3,3
1,18,3,"Eurasia",5,4,4,4,4,4,4
