"vote88","pri82","pan82","novote82","deathok","forinvok","limimp","paydebt","keepind","polint","auth","natecon","futecok","persecon","futperok","school","age","female","prof","working","union","townsize","north","south","zmgm","religion","pristr","othcok","othsocok","ratemdm","traitmjc","traitccs","one"
2,0,0,0,2,3,3,3,3,1,3,2,1,2,4,3,30,0,0,0,1,4,1,0,0,3,1,3,2,1,0,0,1
2,0,0,0,3,3,3,3,3,2,2,3,1,3,4,6,22,0,0,0,0,4,1,0,0,1,3,3,1,7,4,0,1
3,1,0,0,1,3,1,3,3,1,4,1,2,3,3,7,32,1,0,0,0,4,1,0,0,5,1,3,1,4,0,4,1
1,1,0,0,1,3,1,3,2,1,1,1,1,1,1,1,55,0,0,1,1,4,1,0,0,2,2,3,2,1,0,2,1
3,0,1,0,3,3,1,3,1,4,2,1,2,2,2,3,57,0,0,0,0,4,1,0,0,1,1,3,1,1,0,4,1
3,0,0,0,3,3,3,3,3,2,4,4,1,2,3,6,21,0,0,1,0,4,1,0,0,1,2,1,2,7,0,0,1
1,1,0,0,3,3,1,3,1,3,3,3,3,2,2,8,53,1,0,0,0,4,1,0,0,6,3,1,1,10,1,1,1
1,1,0,0,1,3,1,3,1,4,3,2,2,2,1,5,37,1,0,0,0,4,1,0,0,6,2,2,2,6,0,1,1
3,0,0,0,1,3,1,1,3,2,3,2,2,2,3,6,24,0,0,0,1,4,1,0,0,5,2,3,2,4,0,2,1
1,0,0,1,1,3,1,3,3,3,3,3,2,3,3,8,37,0,1,0,0,4,1,0,0,1,3,3,2,9,0,0,1
3,0,0,1,3,3,1,3,1,1,3,1,3,3,2,4,32,1,0,0,0,4,1,0,0,5,1,3,2,6,0,3,1
3,1,0,0,3,3,3,3,1,3,3,2,3,2,4,5,35,1,0,0,0,4,1,0,0,5,1,3,2,5,0,2,1
2,0,0,1,1,1,3,3,3,4,1,2,3,3,4,9,35,0,1,0,0,4,1,0,0,4,1,3,1,8,3,0,1
3,0,0,1,1,1,3,1,3,1,1,2,1,3,2,2,35,1,0,0,0,4,1,0,0,5,3,2,1,5,0,1,1
3,1,0,0,1,1,3,1,3,3,3,2,2,2,3,9,27,1,0,0,0,4,1,0,0,4,1,3,1,5,0,2,1
1,1,0,0,3,3,3,1,1,1,3,1,2,3,3,5,26,1,0,0,1,4,1,0,0,2,2,2,1,9,0,0,1
1,1,0,0,1,3,3,3,1,1,3,1,2,3,2,3,34,1,0,1,0,4,1,0,0,5,3,2,1,7,0,0,1
1,0,1,0,3,1,1,3,3,4,3,3,1,3,4,5,29,0,0,0,0,4,1,0,0,4,2,2,1,8,0,0,1
1,0,0,1,1,3,3,3,1,2,3,2,2,3,5,3,25,1,0,0,0,4,1,0,0,6,3,2,1,10,0,0,1
3,0,1,0,3,3,1,1,1,1,1,2,2,3,4,9,47,0,1,0,0,4,1,0,0,5,1,3,2,5,1,2,1
1,0,0,0,3,3,1,3,1,3,2,2,2,3,4,8,19,0,0,0,0,4,1,0,0,4,1,2,2,8,0,1,1
1,0,0,1,1,3,1,1,1,3,3,1,3,2,3,2,50,0,0,0,1,4,1,0,0,4,2,2,1,9,0,0,1
1,1,0,0,1,3,3,3,3,4,3,3,3,3,4,3,27,0,0,1,0,4,1,0,0,5,2,3,2,9,0,2,1
3,0,0,1,1,3,1,3,1,3,2,2,2,3,4,7,44,0,1,0,0,4,1,0,0,5,1,3,2,5,0,1,1
1,1,0,0,1,3,3,3,3,2,2,2,3,3,4,6,46,0,0,0,0,4,1,0,0,3,3,2,1,7,0,0,1
2,0,1,0,3,1,3,1,1,3,1,2,1,2,1,4,54,0,0,0,0,4,1,0,0,4,1,2,2,4,0,3,1
2,0,0,0,1,3,1,3,3,2,2,2,2,3,3,5,20,0,0,0,0,4,1,0,0,1,1,3,1,5,0,0,1
3,1,0,0,1,3,1,3,3,2,3,3,3,3,4,5,29,1,0,0,0,4,1,0,0,5,1,2,1,6,0,4,1
3,0,0,0,3,3,3,3,1,4,3,3,1,2,5,3,33,0,0,0,1,4,1,0,0,2,1,3,1,5,2,1,1
1,1,0,0,1,1,1,1,3,1,2,3,2,3,4,5,29,1,0,0,0,4,1,0,0,5,2,1,1,1,0,0,1
1,1,0,0,3,3,1,1,1,1,4,2,2,3,4,6,32,1,0,0,0,4,1,0,0,5,3,2,1,7,0,1,1
3,1,0,0,3,3,1,3,1,3,3,2,2,3,3,5,40,0,0,1,0,4,1,0,0,2,2,2,1,7,1,1,1
1,1,0,0,1,3,1,3,1,2,3,3,2,3,4,7,26,0,0,0,0,4,1,0,0,5,3,2,1,9,0,0,1
1,0,0,0,3,3,1,3,1,4,1,2,3,3,4,6,23,1,0,0,0,4,1,0,0,3,2,1,1,8,0,0,1
3,0,1,0,3,1,1,1,3,4,2,2,3,2,4,7,37,0,0,0,0,4,1,0,0,2,1,3,1,8,0,3,1
2,0,0,0,1,3,3,3,1,3,3,2,2,3,3,5,54,0,0,1,0,4,1,0,0,5,1,3,2,3,2,0,1
2,0,1,0,1,3,1,3,1,4,4,2,2,3,3,5,49,0,0,0,0,4,1,0,0,5,1,3,1,5,3,0,1
3,0,0,1,1,3,1,3,1,4,4,2,3,3,3,2,57,0,0,0,0,4,1,0,0,1,1,2,1,8,0,2,1
1,1,0,0,1,3,1,3,1,4,3,3,3,3,5,9,36,0,1,0,1,4,1,0,0,5,3,2,1,10,0,0,1
1,1,0,0,3,3,1,3,1,4,4,2,3,2,3,2,29,1,0,0,0,4,1,0,0,6,3,3,2,6,0,0,1
1,1,0,0,1,3,3,3,3,4,2,1,1,3,4,7,44,1,0,0,0,4,1,0,0,3,1,3,2,7,0,1,1
1,1,0,0,1,3,3,3,1,3,2,3,3,3,4,9,37,0,1,0,0,4,1,0,0,2,2,3,2,8,0,0,1
1,1,0,0,3,1,3,1,3,2,3,2,3,3,4,3,28,1,0,0,0,4,1,0,0,5,3,2,2,6,0,1,1
3,1,0,0,1,3,3,1,3,2,4,2,2,3,3,7,26,0,0,0,1,4,1,0,0,5,1,2,1,5,0,4,1
2,1,0,0,1,3,1,3,1,2,2,2,3,2,4,8,53,0,0,0,0,4,1,0,0,6,2,3,1,10,3,0,1
1,1,0,0,1,3,3,3,1,3,4,2,3,2,3,4,54,0,1,0,1,4,1,0,0,5,2,3,2,9,0,1,1
2,0,1,0,2,3,1,3,1,2,3,3,3,2,4,5,29,0,0,0,0,4,1,0,0,3,1,3,2,8,3,0,1
2,0,0,1,3,3,1,3,1,2,3,2,1,3,4,9,24,1,0,0,1,3,1,0,0,3,1,2,2,6,2,0,1
1,1,0,0,3,1,3,3,3,1,2,1,2,3,3,7,26,1,0,0,0,3,1,0,0,4,2,3,2,8,0,0,1
1,0,0,0,1,3,1,3,1,2,2,1,2,3,4,8,18,1,0,0,0,3,1,0,0,5,1,3,1,8,0,0,1
1,0,0,0,1,3,3,3,1,3,2,3,3,3,4,7,23,0,0,0,0,3,1,0,0,3,2,1,1,8,0,0,1
2,0,0,1,3,3,1,3,3,1,3,2,1,3,4,8,30,0,1,0,0,3,1,0,0,1,1,3,2,2,3,0,1
1,1,0,0,1,3,3,3,1,4,2,2,3,3,4,7,26,0,0,0,0,3,1,0,0,3,3,1,1,10,0,0,1
3,0,0,1,3,3,3,3,1,2,3,2,1,3,3,8,29,1,0,0,0,3,1,0,0,5,1,3,1,3,0,3,1
2,0,1,0,3,3,3,3,1,2,2,2,3,2,4,9,50,0,1,0,0,3,1,0,0,2,1,1,1,9,0,0,1
1,1,0,0,1,3,1,3,1,3,1,2,1,3,4,5,58,1,0,0,0,3,1,0,0,3,1,1,1,6,0,0,1
3,1,0,0,1,3,1,3,1,4,3,1,1,2,3,3,57,0,0,0,0,3,1,0,0,5,1,3,2,4,0,4,1
1,1,0,0,1,3,1,3,1,1,3,2,3,3,3,4,29,1,0,0,0,3,1,0,0,5,3,2,1,8,0,0,1
2,0,0,0,1,3,1,3,1,2,3,2,1,2,3,2,21,1,0,0,0,3,1,0,0,3,1,3,1,6,3,0,1
2,0,1,0,1,3,1,3,1,3,2,2,1,2,2,3,42,0,0,0,0,3,1,0,0,4,1,3,1,8,1,2,1
3,1,0,0,3,1,3,1,1,1,4,2,3,2,3,4,36,1,0,0,0,3,1,0,0,6,1,3,2,5,0,2,1
3,0,0,1,1,3,3,1,3,1,3,2,1,2,2,6,25,1,0,0,0,3,1,0,0,3,1,3,2,6,0,4,1
2,0,0,0,3,2,3,1,1,1,3,2,1,2,3,8,21,0,0,0,1,1,1,0,0,3,1,3,1,6,4,0,1
3,0,1,0,3,3,1,1,1,2,3,1,1,2,3,4,29,0,0,1,1,1,1,0,0,5,2,3,2,4,0,4,1
2,0,0,0,2,1,3,3,1,4,2,1,1,2,3,7,23,0,0,0,0,1,1,0,0,3,1,3,2,6,4,0,1
1,0,0,0,2,3,3,3,1,3,1,2,3,2,4,8,19,0,0,0,0,1,1,0,0,3,3,3,1,6,0,0,1
2,0,1,0,1,3,1,3,1,4,2,2,1,2,2,2,60,0,0,0,0,1,1,0,0,2,1,3,2,5,4,0,1
3,0,0,0,1,3,3,3,1,1,4,1,1,3,3,5,36,0,0,0,0,1,1,0,0,1,1,3,1,5,0,4,1
3,1,0,0,1,3,3,1,1,4,2,1,1,2,4,5,39,0,0,0,0,1,1,0,0,2,2,3,1,5,0,4,1
3,0,0,0,1,3,1,3,1,1,3,2,1,2,5,4,40,1,0,0,0,1,1,0,0,3,2,2,2,2,1,3,1
2,0,0,0,1,3,1,3,1,4,4,2,1,3,5,8,23,0,0,0,1,1,1,0,0,3,2,3,2,1,4,0,1
2,0,0,0,1,1,3,1,3,3,4,2,2,2,3,4,24,0,0,0,0,1,1,0,0,3,1,3,1,4,2,0,1
2,1,0,0,1,3,1,3,3,3,3,2,2,3,3,2,54,0,0,0,0,4,1,0,0,3,1,3,1,8,0,3,1
1,1,0,0,3,1,1,1,3,4,2,2,3,2,4,5,36,0,0,0,0,4,1,0,0,3,3,1,2,10,0,0,1
2,0,0,0,1,3,1,3,3,3,2,2,1,3,2,7,21,1,0,0,0,4,1,0,0,5,2,3,1,6,0,2,1
2,0,1,0,1,3,3,1,1,4,3,1,1,3,5,7,24,1,0,0,0,4,1,0,0,1,3,3,2,3,4,0,1
1,1,0,0,3,3,1,3,1,3,3,1,3,3,4,9,36,1,1,0,1,4,1,0,0,3,2,2,2,9,0,2,1
1,1,0,0,1,3,1,1,3,4,3,2,3,3,3,7,29,1,0,0,1,4,1,0,0,5,2,1,1,8,0,0,1
2,0,1,0,3,1,1,1,1,2,2,1,2,3,3,7,19,0,0,0,0,4,1,0,0,5,1,2,1,5,3,0,1
3,0,0,0,3,2,3,2,2,2,2,1,1,1,1,9,49,0,1,0,0,4,1,0,0,2,1,3,2,4,0,0,1
2,1,0,0,1,2,1,3,2,2,2,1,2,3,3,3,23,1,0,0,0,4,1,0,0,2,2,2,2,1,3,0,1
2,0,1,0,3,3,1,1,1,1,4,2,2,3,5,4,25,0,0,1,0,4,1,0,0,3,1,3,1,10,0,0,1
2,0,1,0,1,3,3,1,1,4,4,2,1,3,5,7,30,0,0,0,0,4,1,0,0,2,1,3,2,5,4,0,1
1,0,0,1,1,3,3,3,1,4,4,2,2,3,3,9,32,0,1,0,0,4,1,0,0,2,2,2,2,8,1,1,1
2,1,0,0,3,3,1,3,1,4,1,1,3,3,5,9,29,0,1,0,0,4,1,0,0,5,1,3,2,6,2,0,1
1,1,0,0,3,3,1,3,2,4,4,2,2,3,3,3,59,1,0,0,0,4,1,0,0,4,2,1,1,8,0,0,1
1,0,0,1,1,1,1,3,3,2,2,2,2,3,4,5,19,1,0,0,0,4,1,0,0,5,3,2,1,9,0,0,1
2,0,0,1,1,3,1,3,2,1,3,1,1,3,2,7,20,0,0,0,0,4,1,0,0,4,3,2,1,6,4,0,1
2,0,1,0,1,1,3,3,1,2,3,1,1,2,2,5,39,1,0,0,0,3,1,0,0,6,1,3,2,3,2,1,1
1,0,0,0,3,1,2,3,1,1,3,2,2,3,3,8,20,1,0,0,1,3,1,0,0,4,2,2,1,8,0,0,1
1,1,0,0,1,2,2,3,1,4,3,3,2,3,3,2,50,0,0,1,0,3,1,0,0,2,3,1,1,10,0,0,1
1,0,0,0,1,2,3,3,2,2,2,2,2,3,2,6,22,1,0,0,0,3,1,0,0,6,3,1,1,7,0,0,1
2,0,1,0,1,1,3,3,3,1,3,2,2,2,3,2,60,1,0,0,0,3,1,0,0,6,1,3,2,8,3,1,1
1,0,0,1,3,2,1,3,3,2,4,2,2,3,4,5,30,0,0,0,1,3,1,0,0,2,3,2,1,7,0,0,1
2,0,1,0,1,2,3,1,1,4,3,1,1,3,1,7,54,1,0,0,1,3,1,0,0,4,1,3,1,2,4,0,1
1,1,0,0,3,3,1,3,3,4,2,2,3,2,4,7,27,0,0,1,0,3,1,0,0,3,1,2,1,3,0,1,1
1,0,0,0,1,1,3,3,3,2,3,3,2,3,5,7,20,0,0,0,0,3,1,0,0,5,2,3,2,10,0,3,1
1,1,0,0,1,3,1,3,3,4,1,1,3,2,4,5,48,1,0,0,1,3,1,0,0,2,3,1,1,8,0,0,1
3,1,0,0,1,3,1,1,3,4,2,3,3,3,5,7,44,1,1,0,1,3,1,0,0,3,2,2,1,9,0,1,1
2,0,1,0,1,2,2,3,3,2,3,2,1,2,4,2,54,1,0,0,0,3,1,0,0,6,2,3,1,2,1,0,1
1,1,0,0,1,2,1,3,1,4,2,2,2,3,4,9,32,0,0,1,1,3,1,0,0,4,3,2,2,8,0,1,1
1,1,0,0,1,1,1,3,3,4,2,2,1,2,2,5,30,0,0,1,0,3,1,0,0,5,3,1,1,10,1,0,1
2,1,0,0,1,3,1,3,3,2,2,3,3,3,4,4,30,0,0,1,0,3,1,0,0,3,1,3,2,8,0,1,1
1,1,0,0,1,3,1,3,1,2,3,3,3,3,4,2,59,0,0,1,1,3,1,0,0,2,3,3,1,10,0,0,1
2,0,0,1,1,3,1,3,1,3,4,1,1,3,4,9,23,1,1,0,1,3,1,0,0,5,1,3,2,8,2,0,1
1,1,0,0,3,3,3,3,3,4,3,2,3,3,4,3,39,1,0,0,0,3,1,0,0,6,3,2,1,9,0,0,1
1,1,0,0,1,3,3,1,1,3,4,3,3,3,4,7,37,0,1,0,1,3,1,0,0,3,2,3,1,9,0,1,1
2,0,0,1,3,1,3,3,1,2,3,1,1,2,4,2,32,1,0,0,0,3,1,0,0,4,1,3,1,2,4,0,1
2,0,1,0,3,3,1,1,3,4,2,1,1,3,2,4,31,1,0,0,1,3,1,0,0,4,1,3,2,1,2,2,1
1,0,0,1,1,3,3,3,1,3,3,2,2,3,4,8,21,0,0,0,1,3,1,0,0,5,1,2,1,6,1,1,1
1,1,0,0,1,3,3,3,2,2,2,2,1,3,2,5,24,0,0,0,1,3,1,0,0,4,1,1,1,4,0,0,1
2,0,1,0,3,1,1,3,1,1,2,2,1,3,2,4,28,1,0,0,1,3,1,0,0,2,1,3,1,1,3,0,1
2,0,0,1,3,3,1,3,1,2,3,3,1,3,4,5,27,1,1,0,1,3,1,0,0,2,1,3,1,5,0,0,1
1,1,0,0,3,3,3,3,1,3,4,2,2,3,3,5,52,1,0,0,1,3,1,0,0,6,2,2,1,6,0,1,1
1,0,0,1,3,1,3,3,1,2,3,3,1,3,4,5,21,0,0,0,0,3,1,0,0,5,2,2,1,7,1,0,1
1,1,0,0,2,3,1,1,3,4,3,2,3,3,4,4,27,0,0,0,0,3,1,0,0,2,3,3,1,5,0,0,1
2,0,1,0,3,1,3,3,1,4,3,1,1,3,1,6,40,1,0,0,1,3,1,0,0,5,1,3,2,6,3,1,1
1,1,0,0,1,3,3,3,1,3,3,2,2,3,2,5,28,0,0,0,1,3,1,0,0,2,3,1,1,10,0,0,1
2,0,1,0,1,3,1,3,1,1,2,1,3,3,4,9,24,0,0,1,0,3,1,0,0,2,1,3,2,2,4,0,1
1,1,0,0,1,2,3,3,3,2,3,2,1,3,2,5,28,1,0,1,1,1,1,0,0,3,1,3,1,6,0,1,1
2,0,0,1,1,1,3,1,2,3,3,1,2,2,2,7,19,1,0,0,0,1,1,0,0,1,1,3,1,5,2,1,1
2,0,1,0,1,1,3,3,1,1,3,2,1,3,5,9,27,1,0,0,1,1,1,0,0,2,1,3,2,6,3,0,1
1,1,0,0,3,1,3,1,1,1,3,1,2,1,3,5,48,1,0,0,0,1,1,0,0,2,2,1,1,5,0,0,1
1,1,0,0,1,3,1,3,3,1,2,3,3,3,4,6,38,0,0,0,0,1,1,0,0,2,3,1,1,10,0,0,1
1,1,0,0,1,3,1,1,3,2,3,2,2,2,4,2,45,0,0,1,1,1,1,0,0,5,1,3,1,10,0,0,1
1,1,0,0,3,2,3,3,3,3,2,2,3,3,4,5,33,1,1,0,1,1,1,0,0,2,3,2,1,8,0,0,1
1,1,0,0,1,2,3,3,3,4,2,2,2,3,3,4,25,1,0,0,1,1,1,0,0,2,3,1,1,10,0,0,1
2,1,0,0,2,3,3,3,1,2,2,1,1,1,4,4,38,0,0,1,1,1,1,0,0,3,2,2,1,1,2,1,1
2,0,0,1,1,1,1,1,3,3,2,2,1,2,3,2,23,0,0,0,0,1,1,0,0,2,2,3,1,1,4,0,1
1,0,0,1,3,1,3,1,1,2,2,2,1,2,4,5,18,0,0,1,0,1,1,0,0,3,2,2,2,8,0,0,1
2,0,0,1,3,1,3,1,3,3,3,2,1,2,2,3,44,0,0,0,0,1,1,0,0,3,1,3,2,5,1,0,1
2,0,0,1,1,1,2,3,2,2,2,2,2,3,3,3,26,1,0,0,0,2,1,0,0,6,3,2,2,9,0,0,1
2,1,0,0,1,1,1,1,1,1,3,2,2,3,4,5,31,1,0,0,0,2,1,0,0,2,1,3,2,7,2,1,1
2,0,0,0,1,2,1,3,3,2,3,2,1,2,3,5,18,0,0,1,0,2,1,0,0,5,2,3,2,8,0,0,1
2,1,0,0,1,3,1,3,1,2,2,3,3,3,4,9,24,0,1,0,0,2,1,0,0,5,1,3,1,9,2,1,1
1,0,1,0,1,1,3,3,1,2,2,2,2,2,4,7,24,1,1,0,1,2,1,0,0,5,1,2,1,8,0,0,1
1,1,0,0,1,3,1,1,3,3,2,1,1,3,2,3,35,1,0,0,1,2,1,0,0,2,3,1,1,9,0,0,1
1,0,0,0,1,3,1,3,1,2,3,2,2,2,4,6,20,1,0,0,0,2,1,0,0,5,2,3,1,9,0,2,1
2,0,1,0,1,1,1,1,1,2,3,2,2,3,3,9,28,0,0,0,0,2,1,0,0,4,1,3,2,5,3,0,1
1,0,0,1,1,1,1,3,1,2,3,1,2,3,5,2,43,1,0,0,0,2,1,0,0,3,3,3,1,6,0,0,1
1,1,0,0,3,3,3,1,3,3,2,2,1,3,2,3,30,1,0,0,0,2,1,0,0,5,1,3,1,8,0,3,1
2,1,0,0,1,3,3,3,2,3,2,2,1,3,4,6,32,1,0,0,1,2,1,0,0,1,1,2,1,6,3,0,1
2,1,0,0,1,1,1,1,3,2,3,1,2,2,2,2,44,0,0,1,0,2,1,0,0,5,1,2,1,9,0,3,1
1,1,0,0,1,3,1,1,3,2,3,1,2,2,1,2,49,1,0,0,0,2,1,0,0,4,3,2,1,7,0,0,1
1,0,0,1,1,3,1,3,3,2,3,3,1,3,2,4,21,0,0,1,0,2,1,0,0,5,2,2,2,9,0,0,1
3,1,0,0,3,1,3,1,1,3,3,1,1,1,1,2,48,1,0,0,0,2,1,0,0,6,2,1,2,5,0,0,1
1,1,0,0,1,1,1,3,3,2,3,2,2,2,4,3,26,0,0,0,0,1,1,0,0,3,3,2,2,8,0,0,1
1,1,0,0,3,3,1,3,3,4,2,3,2,3,4,2,35,1,0,0,0,1,1,0,0,4,2,2,1,10,0,0,1
1,1,0,0,2,3,1,3,2,2,3,3,2,2,4,3,31,1,0,0,0,1,1,0,0,5,3,2,2,9,0,0,1
1,1,0,0,1,3,3,3,3,3,2,3,1,3,4,5,23,0,0,1,0,1,1,0,0,4,1,2,2,8,0,0,1
2,0,1,0,3,3,3,3,3,3,2,2,2,3,3,4,30,1,0,0,0,1,1,0,0,4,1,3,2,8,2,0,1
1,1,0,0,1,1,1,1,1,1,2,2,2,2,1,1,59,0,0,0,0,1,1,0,0,3,1,2,2,6,0,0,1
1,0,0,1,1,3,3,2,2,2,2,2,1,1,4,3,60,0,0,0,0,5,1,0,0,4,3,1,1,8,0,0,1
1,0,0,1,3,3,3,3,1,3,4,2,2,3,4,3,47,1,0,0,0,5,1,0,0,5,2,2,1,7,0,0,1
1,0,0,1,1,3,1,2,1,3,4,1,2,3,4,6,37,1,0,0,0,5,1,0,0,5,1,3,1,6,0,0,1
1,1,0,0,2,3,1,3,1,3,1,2,3,3,4,9,60,0,0,0,0,5,1,0,0,5,3,3,1,8,0,0,1
2,0,1,0,3,3,3,3,1,4,1,1,2,1,4,7,58,0,1,0,0,5,1,0,0,5,1,3,1,5,4,0,1
3,0,0,0,3,3,3,2,1,2,1,2,2,2,2,8,21,0,0,0,0,5,1,0,0,2,1,3,1,8,0,3,1
1,1,0,0,1,3,1,3,1,2,3,4,2,4,3,3,53,1,0,0,0,5,1,0,0,5,3,2,1,8,0,0,1
1,1,0,0,1,3,1,3,1,1,3,2,1,2,4,7,45,1,0,0,0,5,1,0,0,5,2,2,2,5,0,0,1
1,1,0,0,1,3,1,3,1,4,3,2,3,2,4,2,45,1,0,0,0,5,1,0,0,5,1,3,1,6,1,1,1
1,1,0,0,2,3,3,3,1,2,2,2,2,3,3,7,35,1,0,0,0,5,1,0,0,3,2,2,2,8,0,1,1
3,0,0,0,1,3,1,3,3,3,1,1,1,3,4,7,22,0,0,0,0,5,1,0,0,4,1,3,2,7,0,2,1
3,1,0,0,1,3,2,3,2,1,2,3,2,3,4,6,28,0,0,1,0,5,1,0,0,3,2,1,1,10,0,2,1
1,1,0,0,3,3,1,3,1,3,3,3,2,3,5,5,36,1,0,1,0,5,1,0,0,5,3,1,1,9,0,0,1
2,0,1,0,1,3,3,3,3,3,2,2,1,3,4,7,26,0,0,0,0,5,1,0,0,2,1,3,2,7,4,0,1
2,0,0,0,1,3,3,3,1,4,4,2,3,3,4,7,30,0,1,0,1,5,1,0,0,5,1,3,2,9,1,2,1
1,1,0,0,1,1,3,3,3,3,2,2,2,3,3,9,50,0,1,0,0,5,1,0,0,5,3,1,1,8,0,0,1
2,0,0,0,1,3,3,3,3,3,3,2,2,3,4,6,18,1,0,0,0,5,1,0,0,2,2,3,2,8,2,0,1
2,0,0,1,3,3,3,3,1,4,4,2,2,3,3,7,39,1,0,0,0,5,1,0,0,5,1,3,2,6,3,0,1
2,0,0,0,1,3,1,1,1,4,1,2,2,3,4,8,20,0,0,0,0,5,1,0,0,5,2,3,1,8,2,1,1
1,1,0,0,3,3,3,3,1,1,2,3,3,2,3,7,51,0,0,0,0,5,1,0,0,5,2,1,1,10,0,0,1
3,0,0,0,1,2,1,2,3,2,3,2,2,3,3,5,23,1,0,0,0,5,1,0,0,3,3,2,2,1,0,0,1
1,1,0,0,1,3,1,3,3,2,3,2,2,3,5,3,50,0,0,0,1,5,1,0,0,6,3,1,1,10,0,0,1
1,0,0,0,3,1,3,3,2,3,2,2,2,2,4,5,20,1,0,0,0,5,1,0,0,3,2,2,1,9,0,0,1
1,0,0,0,3,1,3,3,2,2,2,3,3,3,4,6,19,1,0,0,0,5,1,0,0,5,3,2,1,10,0,0,1
2,0,0,0,3,3,1,1,1,4,2,3,1,3,3,8,20,0,0,0,0,5,1,0,0,1,1,3,2,5,4,0,1
1,1,0,0,3,3,3,3,1,1,2,2,2,3,2,5,36,0,0,0,0,5,1,0,0,2,2,1,1,8,0,0,1
1,1,0,0,3,3,1,3,1,3,3,2,3,3,3,7,58,1,0,0,0,5,1,0,0,3,3,1,1,10,0,0,1
2,0,1,0,1,3,3,3,1,2,3,2,3,3,3,9,40,0,1,0,1,5,1,0,0,6,2,3,1,7,2,0,1
2,0,1,0,1,3,1,3,2,4,2,1,1,2,3,6,50,0,0,1,1,5,1,0,0,5,1,3,2,1,2,2,1
1,0,0,1,1,3,3,3,1,2,3,2,2,3,5,5,30,0,1,0,0,5,1,0,0,2,1,2,1,8,0,0,1
1,0,1,0,1,3,3,1,1,4,3,2,3,3,4,5,25,1,0,0,0,5,1,0,0,5,3,2,1,10,0,0,1
2,1,0,0,1,1,3,3,3,2,3,2,1,1,3,2,52,0,0,0,0,5,1,0,0,2,1,3,2,1,2,0,1
1,0,1,0,1,3,3,1,1,4,3,3,3,3,4,5,43,1,0,0,0,5,1,0,0,5,1,3,1,8,0,1,1
1,1,0,0,1,3,1,3,3,3,4,2,3,3,5,5,35,1,0,0,0,5,1,0,0,6,3,1,2,8,0,0,1
1,0,0,1,3,3,3,3,3,4,3,1,1,1,3,6,25,1,0,0,0,5,1,0,0,1,2,2,1,7,2,2,1
1,1,0,0,2,3,1,3,2,1,3,2,2,3,4,3,29,0,0,0,0,3,1,0,0,5,2,3,2,10,0,0,1
1,0,0,1,2,2,1,1,1,3,4,3,2,3,3,3,34,1,0,0,0,3,1,0,0,5,2,1,1,10,0,1,1
1,1,0,0,3,3,1,1,1,2,2,2,3,3,4,7,46,1,0,0,0,3,1,0,0,5,1,2,2,8,0,0,1
