"Freq","sex","method","age","age.group","method2"
4,"male","poison",10,"10-20","poison"
0,"male","cookgas",10,"10-20","gas"
0,"male","toxicgas",10,"10-20","gas"
247,"male","hang",10,"10-20","hang"
1,"male","drown",10,"10-20","drown"
17,"male","gun",10,"10-20","gun"
1,"male","knife",10,"10-20","knife"
6,"male","jump",10,"10-20","jump"
0,"male","other",10,"10-20","other"
348,"male","poison",15,"10-20","poison"
7,"male","cookgas",15,"10-20","gas"
67,"male","toxicgas",15,"10-20","gas"
578,"male","hang",15,"10-20","hang"
22,"male","drown",15,"10-20","drown"
179,"male","gun",15,"10-20","gun"
11,"male","knife",15,"10-20","knife"
74,"male","jump",15,"10-20","jump"
175,"male","other",15,"10-20","other"
808,"male","poison",20,"10-20","poison"
32,"male","cookgas",20,"10-20","gas"
229,"male","toxicgas",20,"10-20","gas"
699,"male","hang",20,"10-20","hang"
44,"male","drown",20,"10-20","drown"
316,"male","gun",20,"10-20","gun"
35,"male","knife",20,"10-20","knife"
109,"male","jump",20,"10-20","jump"
289,"male","other",20,"10-20","other"
789,"male","poison",25,"25-35","poison"
26,"male","cookgas",25,"25-35","gas"
243,"male","toxicgas",25,"25-35","gas"
648,"male","hang",25,"25-35","hang"
52,"male","drown",25,"25-35","drown"
268,"male","gun",25,"25-35","gun"
38,"male","knife",25,"25-35","knife"
109,"male","jump",25,"25-35","jump"
226,"male","other",25,"25-35","other"
916,"male","poison",30,"25-35","poison"
17,"male","cookgas",30,"25-35","gas"
257,"male","toxicgas",30,"25-35","gas"
825,"male","hang",30,"25-35","hang"
74,"male","drown",30,"25-35","drown"
291,"male","gun",30,"25-35","gun"
52,"male","knife",30,"25-35","knife"
123,"male","jump",30,"25-35","jump"
281,"male","other",30,"25-35","other"
1118,"male","poison",35,"25-35","poison"
27,"male","cookgas",35,"25-35","gas"
313,"male","toxicgas",35,"25-35","gas"
1278,"male","hang",35,"25-35","hang"
87,"male","drown",35,"25-35","drown"
293,"male","gun",35,"25-35","gun"
49,"male","knife",35,"25-35","knife"
134,"male","jump",35,"25-35","jump"
268,"male","other",35,"25-35","other"
926,"male","poison",40,"40-50","poison"
13,"male","cookgas",40,"40-50","gas"
250,"male","toxicgas",40,"40-50","gas"
1273,"male","hang",40,"40-50","hang"
89,"male","drown",40,"40-50","drown"
299,"male","gun",40,"40-50","gun"
53,"male","knife",40,"40-50","knife"
78,"male","jump",40,"40-50","jump"
198,"male","other",40,"40-50","other"
855,"male","poison",45,"40-50","poison"
9,"male","cookgas",45,"40-50","gas"
203,"male","toxicgas",45,"40-50","gas"
1381,"male","hang",45,"40-50","hang"
71,"male","drown",45,"40-50","drown"
347,"male","gun",45,"40-50","gun"
68,"male","knife",45,"40-50","knife"
103,"male","jump",45,"40-50","jump"
190,"male","other",45,"40-50","other"
684,"male","poison",50,"40-50","poison"
14,"male","cookgas",50,"40-50","gas"
136,"male","toxicgas",50,"40-50","gas"
1282,"male","hang",50,"40-50","hang"
87,"male","drown",50,"40-50","drown"
229,"male","gun",50,"40-50","gun"
62,"male","knife",50,"40-50","knife"
63,"male","jump",50,"40-50","jump"
146,"male","other",50,"40-50","other"
502,"male","poison",55,"55-65","poison"
6,"male","cookgas",55,"55-65","gas"
77,"male","toxicgas",55,"55-65","gas"
972,"male","hang",55,"55-65","hang"
49,"male","drown",55,"55-65","drown"
151,"male","gun",55,"55-65","gun"
46,"male","knife",55,"55-65","knife"
66,"male","jump",55,"55-65","jump"
77,"male","other",55,"55-65","other"
516,"male","poison",60,"55-65","poison"
5,"male","cookgas",60,"55-65","gas"
74,"male","toxicgas",60,"55-65","gas"
1249,"male","hang",60,"55-65","hang"
83,"male","drown",60,"55-65","drown"
162,"male","gun",60,"55-65","gun"
52,"male","knife",60,"55-65","knife"
92,"male","jump",60,"55-65","jump"
122,"male","other",60,"55-65","other"
513,"male","poison",65,"55-65","poison"
8,"male","cookgas",65,"55-65","gas"
31,"male","toxicgas",65,"55-65","gas"
1360,"male","hang",65,"55-65","hang"
75,"male","drown",65,"55-65","drown"
164,"male","gun",65,"55-65","gun"
56,"male","knife",65,"55-65","knife"
115,"male","jump",65,"55-65","jump"
95,"male","other",65,"55-65","other"
425,"male","poison",70,"70-90","poison"
5,"male","cookgas",70,"70-90","gas"
21,"male","toxicgas",70,"70-90","gas"
1268,"male","hang",70,"70-90","hang"
90,"male","drown",70,"70-90","drown"
121,"male","gun",70,"70-90","gun"
44,"male","knife",70,"70-90","knife"
119,"male","jump",70,"70-90","jump"
82,"male","other",70,"70-90","other"
266,"male","poison",75,"70-90","poison"
4,"male","cookgas",75,"70-90","gas"
9,"male","toxicgas",75,"70-90","gas"
866,"male","hang",75,"70-90","hang"
63,"male","drown",75,"70-90","drown"
78,"male","gun",75,"70-90","gun"
30,"male","knife",75,"70-90","knife"
79,"male","jump",75,"70-90","jump"
34,"male","other",75,"70-90","other"
159,"male","poison",80,"70-90","poison"
2,"male","cookgas",80,"70-90","gas"
2,"male","toxicgas",80,"70-90","gas"
479,"male","hang",80,"70-90","hang"
39,"male","drown",80,"70-90","drown"
18,"male","gun",80,"70-90","gun"
18,"male","knife",80,"70-90","knife"
46,"male","jump",80,"70-90","jump"
19,"male","other",80,"70-90","other"
70,"male","poison",85,"70-90","poison"
1,"male","cookgas",85,"70-90","gas"
0,"male","toxicgas",85,"70-90","gas"
259,"male","hang",85,"70-90","hang"
16,"male","drown",85,"70-90","drown"
10,"male","gun",85,"70-90","gun"
9,"male","knife",85,"70-90","knife"
18,"male","jump",85,"70-90","jump"
10,"male","other",85,"70-90","other"
18,"male","poison",90,"70-90","poison"
0,"male","cookgas",90,"70-90","gas"
1,"male","toxicgas",90,"70-90","gas"
76,"male","hang",90,"70-90","hang"
4,"male","drown",90,"70-90","drown"
2,"male","gun",90,"70-90","gun"
4,"male","knife",90,"70-90","knife"
6,"male","jump",90,"70-90","jump"
2,"male","other",90,"70-90","other"
28,"female","poison",10,"10-20","poison"
0,"female","cookgas",10,"10-20","gas"
3,"female","toxicgas",10,"10-20","gas"
20,"female","hang",10,"10-20","hang"
0,"female","drown",10,"10-20","drown"
1,"female","gun",10,"10-20","gun"
0,"female","knife",10,"10-20","knife"
10,"female","jump",10,"10-20","jump"
6,"female","other",10,"10-20","other"
353,"female","poison",15,"10-20","poison"
2,"female","cookgas",15,"10-20","gas"
11,"female","toxicgas",15,"10-20","gas"
81,"female","hang",15,"10-20","hang"
6,"female","drown",15,"10-20","drown"
15,"female","gun",15,"10-20","gun"
2,"female","knife",15,"10-20","knife"
43,"female","jump",15,"10-20","jump"
47,"female","other",15,"10-20","other"
540,"female","poison",20,"10-20","poison"
4,"female","cookgas",20,"10-20","gas"
20,"female","toxicgas",20,"10-20","gas"
111,"female","hang",20,"10-20","hang"
24,"female","drown",20,"10-20","drown"
9,"female","gun",20,"10-20","gun"
9,"female","knife",20,"10-20","knife"
78,"female","jump",20,"10-20","jump"
47,"female","other",20,"10-20","other"
454,"female","poison",25,"25-35","poison"
6,"female","cookgas",25,"25-35","gas"
27,"female","toxicgas",25,"25-35","gas"
125,"female","hang",25,"25-35","hang"
33,"female","drown",25,"25-35","drown"
26,"female","gun",25,"25-35","gun"
7,"female","knife",25,"25-35","knife"
86,"female","jump",25,"25-35","jump"
75,"female","other",25,"25-35","other"
530,"female","poison",30,"25-35","poison"
2,"female","cookgas",30,"25-35","gas"
29,"female","toxicgas",30,"25-35","gas"
178,"female","hang",30,"25-35","hang"
42,"female","drown",30,"25-35","drown"
14,"female","gun",30,"25-35","gun"
20,"female","knife",30,"25-35","knife"
92,"female","jump",30,"25-35","jump"
78,"female","other",30,"25-35","other"
688,"female","poison",35,"25-35","poison"
5,"female","cookgas",35,"25-35","gas"
44,"female","toxicgas",35,"25-35","gas"
272,"female","hang",35,"25-35","hang"
64,"female","drown",35,"25-35","drown"
24,"female","gun",35,"25-35","gun"
14,"female","knife",35,"25-35","knife"
98,"female","jump",35,"25-35","jump"
110,"female","other",35,"25-35","other"
566,"female","poison",40,"40-50","poison"
4,"female","cookgas",40,"40-50","gas"
24,"female","toxicgas",40,"40-50","gas"
343,"female","hang",40,"40-50","hang"
76,"female","drown",40,"40-50","drown"
18,"female","gun",40,"40-50","gun"
22,"female","knife",40,"40-50","knife"
103,"female","jump",40,"40-50","jump"
86,"female","other",40,"40-50","other"
716,"female","poison",45,"40-50","poison"
6,"female","cookgas",45,"40-50","gas"
24,"female","toxicgas",45,"40-50","gas"
447,"female","hang",45,"40-50","hang"
94,"female","drown",45,"40-50","drown"
13,"female","gun",45,"40-50","gun"
21,"female","knife",45,"40-50","knife"
95,"female","jump",45,"40-50","jump"
88,"female","other",45,"40-50","other"
942,"female","poison",50,"40-50","poison"
7,"female","cookgas",50,"40-50","gas"
26,"female","toxicgas",50,"40-50","gas"
691,"female","hang",50,"40-50","hang"
184,"female","drown",50,"40-50","drown"
21,"female","gun",50,"40-50","gun"
37,"female","knife",50,"40-50","knife"
129,"female","jump",50,"40-50","jump"
131,"female","other",50,"40-50","other"
723,"female","poison",55,"55-65","poison"
3,"female","cookgas",55,"55-65","gas"
14,"female","toxicgas",55,"55-65","gas"
527,"female","hang",55,"55-65","hang"
163,"female","drown",55,"55-65","drown"
14,"female","gun",55,"55-65","gun"
30,"female","knife",55,"55-65","knife"
92,"female","jump",55,"55-65","jump"
92,"female","other",55,"55-65","other"
820,"female","poison",60,"55-65","poison"
8,"female","cookgas",60,"55-65","gas"
8,"female","toxicgas",60,"55-65","gas"
702,"female","hang",60,"55-65","hang"
245,"female","drown",60,"55-65","drown"
11,"female","gun",60,"55-65","gun"
35,"female","knife",60,"55-65","knife"
140,"female","jump",60,"55-65","jump"
114,"female","other",60,"55-65","other"
740,"female","poison",65,"55-65","poison"
8,"female","cookgas",65,"55-65","gas"
4,"female","toxicgas",65,"55-65","gas"
785,"female","hang",65,"55-65","hang"
271,"female","drown",65,"55-65","drown"
4,"female","gun",65,"55-65","gun"
38,"female","knife",65,"55-65","knife"
156,"female","jump",65,"55-65","jump"
90,"female","other",65,"55-65","other"
624,"female","poison",70,"70-90","poison"
6,"female","cookgas",70,"70-90","gas"
4,"female","toxicgas",70,"70-90","gas"
610,"female","hang",70,"70-90","hang"
244,"female","drown",70,"70-90","drown"
1,"female","gun",70,"70-90","gun"
27,"female","knife",70,"70-90","knife"
129,"female","jump",70,"70-90","jump"
46,"female","other",70,"70-90","other"
495,"female","poison",75,"70-90","poison"
8,"female","cookgas",75,"70-90","gas"
1,"female","toxicgas",75,"70-90","gas"
420,"female","hang",75,"70-90","hang"
161,"female","drown",75,"70-90","drown"
2,"female","gun",75,"70-90","gun"
29,"female","knife",75,"70-90","knife"
129,"female","jump",75,"70-90","jump"
35,"female","other",75,"70-90","other"
292,"female","poison",80,"70-90","poison"
3,"female","cookgas",80,"70-90","gas"
2,"female","toxicgas",80,"70-90","gas"
223,"female","hang",80,"70-90","hang"
78,"female","drown",80,"70-90","drown"
0,"female","gun",80,"70-90","gun"
10,"female","knife",80,"70-90","knife"
84,"female","jump",80,"70-90","jump"
23,"female","other",80,"70-90","other"
113,"female","poison",85,"70-90","poison"
4,"female","cookgas",85,"70-90","gas"
0,"female","toxicgas",85,"70-90","gas"
83,"female","hang",85,"70-90","hang"
14,"female","drown",85,"70-90","drown"
0,"female","gun",85,"70-90","gun"
6,"female","knife",85,"70-90","knife"
34,"female","jump",85,"70-90","jump"
2,"female","other",85,"70-90","other"
24,"female","poison",90,"70-90","poison"
1,"female","cookgas",90,"70-90","gas"
0,"female","toxicgas",90,"70-90","gas"
19,"female","hang",90,"70-90","hang"
4,"female","drown",90,"70-90","drown"
0,"female","gun",90,"70-90","gun"
2,"female","knife",90,"70-90","knife"
7,"female","jump",90,"70-90","jump"
0,"female","other",90,"70-90","other"
